[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.255638, -0.758579, 0.800495], [1.402542, -0.341474, 1.443512]]
[[-0.244044, -0.758579, 0.796869], [0.902860, -0.341474, 0.965277]]
[[-0.777483, -0.174702, 0.796869], [0.163974, -0.951248, 0.965277]]
[[-0.796825, 0.008330, 0.796869], [-0.058638, -0.963494, 0.965277]]
[[-0.526032, -0.598574, 0.796869], [0.692099, -0.672873, 0.965277]]
[[0.210214, -0.768642, 0.796869], [0.942716, 0.207475, 0.965277]]
[[-0.042247, -0.768642, 0.769802], [0.690256, 0.207475, 0.720763]]
[[0.532629, -0.555789, 0.769802], [0.319839, 0.645912, 0.720763]]
[[0.032628, -0.555788, 0.556745], [-0.180162, 0.645913, 0.670568]]
[[-0.337715, -0.555788, 0.650347], [-0.550505, 0.645913, 0.848681]]
[[-0.650344, -0.002109, 0.650347], [0.263515, 0.806734, 0.848681]]
[[-1.150345, -0.002109, 1.150347], [-0.236486, 0.806734, 0.840681]]
[[-0.872250, 0.749985, 1.150347], [0.348049, 0.765249, 0.840681]]
[[-1.144130, -0.119431, 1.150347], [-0.317538, 0.778405, 0.840681]]
[[-0.727355, -0.891208, 1.150347], [-0.773928, 0.328298, 0.840681]]
[[0.213955, -1.130275, 1.150347], [-0.749372, -0.381032, 0.840681]]
[[0.047789, -1.149354, 1.150347], [-0.796706, -0.268336, 0.840681]]
[[-0.258758, -1.120867, 1.150347], [-0.839342, -0.047421, 0.840681]]
[[-0.973015, -0.613628, 1.150347], [-0.629345, 0.557378, 0.840681]]
[[-1.092679, 0.359654, 1.150347], [0.029133, 0.840176, 0.840681]]
