1.824639, 0.612325, 1.924642
1.524533, 0.612326, 1.642907
1.314777, -0.985141, 1.642907
0.838723, -0.984495, 1.293324
-0.414189, -1.225208, 1.293324
-1.177320, -0.535354, 1.293324
-1.292099, 0.056266, 1.293324
-1.109431, 0.664718, 1.293324
-0.645885, 1.120499, 1.293324
0.268935, 1.265054, 1.293324
1.010757, 0.806881, 1.293324
1.248764, -0.336565, 1.293324
0.759343, -0.336565, 0.830589
0.482253, -0.336565, 0.588085
-0.014983, -0.336565, 0.336898
-0.298965, -0.155307, 0.336898
-0.192671, -0.276366, 0.336898
0.064393, -0.330687, 0.336898
0.274425, -0.195426, 0.336898
