iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
0,random_sample,0,0.772713,1.945116,1.965716,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
1,random_sample,0,0.019377,0.539889,0.339122,0.749877,-0.248109,1.443274,0.749877,-0.248109,2.318348,0.409954,0.118569,2.318348,1,accepted
2,random_sample,1,1.027982,-0.376554,1.950367,0.749877,-0.248109,2.318348,0.749877,-0.248109,1.271150,0.840301,0.044575,1.271150,0,translation_collision
3,random_sample,2,0.337471,1.634262,2.216881,0.409954,0.118569,2.318348,0.409954,0.118569,2.318348,0.070032,0.485247,2.318348,0,translation_collision
4,random_sample,0,-0.187979,1.369914,1.636854,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
5,random_sample,0,1.431744,0.585969,0.379081,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
6,lateral_motion,1,nan,nan,nan,0.749877,-0.248109,2.318348,0.749877,-0.248109,2.318348,0.529658,-0.452260,2.318348,0,lateral_segment_collision
7,random_sample,0,-0.339758,1.527609,-0.324104,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
8,random_sample,1,1.078180,0.153177,2.216746,0.749877,-0.248109,2.318348,0.749877,-0.248109,1.271150,0.897468,0.229612,1.271150,0,translation_collision
9,random_sample,0,0.854452,0.516948,0.628963,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
10,random_sample,2,0.412315,0.526283,2.471150,0.409954,0.118569,2.318348,0.409954,0.118569,2.318348,0.132767,0.417573,2.318348,0,translation_collision
11,random_sample,2,0.028436,1.365308,-2.793861,0.409954,0.118569,2.318348,0.409954,0.118569,2.318348,0.070032,0.485247,2.318348,0,translation_collision
12,random_sample,2,0.488178,1.539642,-3.059530,0.409954,0.118569,2.318348,0.409954,0.118569,1.515806,0.437435,0.617813,1.515806,1,accepted
13,lateral_motion,3,nan,nan,nan,0.409954,0.118569,1.515806,0.409954,0.118569,1.515806,0.017201,0.140188,1.515806,1,accepted
14,random_sample,2,1.049104,1.120874,2.460187,0.409954,0.118569,2.318348,0.409954,0.118569,1.271150,0.557545,0.596289,1.271150,1,accepted
15,random_sample,6,0.418786,0.349920,0.447053,0.409954,0.118569,1.271150,0.409954,0.118569,1.271150,0.409954,0.118569,1.271150,0,zero_motion
16,lateral_motion,1,nan,nan,nan,0.749877,-0.248109,2.318348,0.749877,-0.248109,2.318348,0.488810,-0.490127,2.318348,0,lateral_segment_collision
17,lateral_motion,7,nan,nan,nan,0.557545,0.596289,1.271150,0.557545,0.596289,1.271150,0.104340,0.736306,1.271150,0,lateral_segment_collision
