iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
0,random_sample,0,-0.261617,1.591505,2.115051,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
1,random_sample,0,0.541134,0.093788,1.699035,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.800822,0.149222,1.443274,0,translation_collision
2,random_sample,0,1.332916,1.390778,2.402065,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
3,random_sample,0,-0.068959,0.973906,1.671683,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
4,random_sample,0,0.340666,0.605900,-0.971371,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
5,random_sample,0,1.428305,1.432265,-1.581238,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
6,random_sample,0,0.782380,0.826827,-0.859609,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
7,random_sample,0,-0.008722,1.958265,1.396201,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
8,lateral_motion,0,nan,nan,nan,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,1.136421,-0.297671,1.443274,1,accepted
9,random_sample,1,1.092697,-0.120074,-1.203065,1.136421,-0.297671,1.443274,1.136421,-0.297671,1.443274,1.136421,-0.297671,1.443274,0,zero_motion
10,random_sample,1,1.316563,-0.022933,-2.540475,1.136421,-0.297671,1.443274,1.136421,-0.297671,1.443274,1.178202,0.028192,1.443274,0,translation_collision
11,random_sample,0,1.060778,1.654319,2.502956,0.749877,-0.248109,1.443274,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,0,translation_collision
12,random_sample,0,0.108175,0.109399,0.992315,0.749877,-0.248109,1.443274,0.749877,-0.248109,2.490471,0.352175,0.054930,2.490471,1,accepted
13,random_sample,3,-0.466669,1.765675,1.926287,0.352175,0.054930,2.490471,0.352175,0.054930,2.490471,-0.045528,0.357970,2.490471,0,translation_collision
14,random_sample,3,0.374002,-0.075582,-1.933637,0.352175,0.054930,2.490471,0.352175,0.054930,-2.745516,0.352175,0.054930,-2.745516,0,duplicate_candidate
15,random_sample,4,-0.193854,1.786161,-2.843329,0.352175,0.054930,-2.745516,0.352175,0.054930,2.490471,-0.045528,0.357970,2.490471,0,translation_collision
16,random_sample,4,0.446595,0.572577,-1.172089,0.352175,0.054930,-2.745516,0.352175,0.054930,2.490471,-0.045528,0.357970,2.490471,0,translation_collision
