[[1.023482, 0.007372, 1.023509], [0.752367, 1.232664, 1.444132]]
[[0.695416, 0.007372, 0.695455], [0.424301, 1.232665, 1.303646]]
[[0.374317, -0.586127, 0.695455], [1.270429, 0.292411, 1.303646]]
[[0.695421, -0.006920, 0.695455], [0.449542, 1.223685, 1.303646]]
[[0.444287, 0.535039, 0.695455], [-0.665426, 1.121027, 1.303646]]
[[0.204099, 0.664832, 0.695455], [-1.045671, 0.778502, 1.303646]]
[[0.649666, 0.248176, 0.695455], [-0.029703, 1.303308, 1.303646]]
[[0.566594, -0.403273, 0.695455], [1.068444, 0.746941, 1.303646]]
[[0.083851, -0.403274, 0.411899], [0.585702, 0.746940, 0.949192]]
[[-0.416150, -0.403273, 0.579491], [0.085701, 0.746940, 0.751841]]
[[-0.916150, -0.403273, 1.000980], [-0.414300, 0.746941, 0.854146]]
[[-1.105780, -0.403273, 1.177021], [-0.603930, 0.746941, 0.960548]]
[[-0.487455, -1.071339, 1.177021], [-0.956053, 0.092819, 0.960548]]
[[0.589673, -1.018658, 1.177021], [-0.630359, -0.724776, 0.960548]]
[[0.558690, -1.018659, 1.161809], [-0.661342, -0.724776, 0.981160]]
[[0.495336, -1.018659, 1.132706], [-0.724697, -0.724776, 1.024932]]
[[0.458774, -1.018659, 1.117201], [-0.761259, -0.724776, 1.051102]]
[[0.206865, -1.097882, 1.117201], [-0.910107, -0.525852, 1.051102]]
