0.749877, -0.248109, 1.443274
0.749877, -0.248109, 0.671610
0.749877, -0.248109, 1.576748
0.749877, -0.248109, 2.502882
0.352378, 0.047050, 2.502882
0.352378, 0.047050, -2.979421
0.352378, 0.047050, -2.236140
0.352378, 0.047050, -2.220455
0.352378, 0.047050, -1.653822
0.352378, 0.047050, -0.997056
0.352378, 0.047050, -0.441044
0.352378, 0.047050, 0.372195
0.352378, 0.047050, 1.292708
0.486928, 0.518351, 1.292708
0.624188, 0.999143, 1.292708
0.744460, 1.420434, 1.292708
0.744460, 1.420434, 2.266390
0.744460, 1.420434, 1.468000
0.744460, 1.420434, 0.732210
0.744460, 1.420434, 1.499062
0.744460, 1.420434, 2.484225
0.348658, 1.725952, 2.484225
