comparison_idx,trial,seed,diffusion_seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s,lateral_diffusion_run_idx,lateral_diffusion_success,lateral_diffusion_path_length_m,lateral_diffusion_wall_runtime_s
2,1,101,42,3011,1,2.098995,0.035406,4011,1,1.718168,114.002725,5011,1,1.671717,95.348025
2,2,211,42,3012,1,1.920253,0.033958,4012,1,1.705731,132.028483,5012,1,1.718614,81.706850
2,3,307,42,3013,1,1.779748,0.025635,4013,1,1.871986,88.424077,5013,1,1.825371,89.973057
2,4,401,42,3014,1,2.218235,0.033781,4014,1,2.131952,109.629059,5014,1,1.809035,103.997158
2,5,503,42,3015,1,1.757293,0.027145,4015,1,1.663954,103.387270,5015,1,1.661391,82.595972
2,6,601,42,3016,1,2.000000,0.027304,4016,1,1.733950,124.964799,5016,1,1.904927,78.099707
2,7,701,42,3017,1,1.587940,0.025912,4017,1,1.687409,117.960345,5017,1,1.668106,88.331846
2,8,809,42,3018,1,2.017197,0.030704,4018,1,1.890444,126.389979,5018,1,1.721784,72.233992
2,9,907,42,3019,1,1.791803,0.026600,4019,1,1.810227,121.124350,5019,1,1.816206,86.028392
2,10,1009,42,3020,1,1.916913,0.027404,4020,1,1.817552,115.250765,5020,1,1.849295,83.732722
