[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.653091, 0.462888, 0.800495], [-0.076066, 1.441507, 1.443512]]
[[0.310134, 0.737977, 0.800495], [-0.825867, 1.183922, 1.443512]]
[[0.780377, 0.178337, 0.800495], [0.480299, 1.361264, 1.443512]]
[[0.584997, -0.546417, 0.800495], [1.396608, 0.364985, 1.443512]]
[[-0.069678, -0.797457, 0.800495], [1.148266, -0.874764, 1.443512]]
[[-0.565223, -0.797457, 0.977453], [0.652722, -0.874764, 1.091447]]
[[0.408008, -0.888225, 0.977453], [1.083928, 0.127893, 1.091447]]
[[-0.049273, -0.888225, 0.889591], [0.626647, 0.127893, 0.639565]]
[[0.632416, -0.625637, 0.889591], [0.319599, 0.553985, 0.639565]]
[[0.138717, -0.625637, 0.640830], [-0.174100, 0.553986, 0.580699]]
[[-0.352813, -0.625636, 0.718261], [-0.665631, 0.553986, 0.866005]]
[[-0.767811, -0.625637, 0.990432], [-1.080629, 0.553985, 1.214355]]
[[-0.925723, 0.352126, 0.990432], [-0.060548, 1.212845, 1.214355]]
[[-0.157911, 0.977763, 0.990432], [1.020080, 0.658858, 1.214355]]
[[-0.595769, 0.977763, 1.144972], [0.582222, 0.658858, 0.879248]]
