iter,rollout_step,extension_type,near_idx,sample_x,sample_y,sample_theta,current_x,current_y,current_theta,local_x,local_y,local_theta,target_mode,action_dx_robot,action_dy_robot,action_dtheta,candidate_x,candidate_y,candidate_theta,accepted,status
0,0,goal_directed_diffusion,0,0.772713,1.945116,1.965716,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,translation,0.328066,0.000000,0.000000,1.050865,0.025328,1.286021,1,accepted
0,1,goal_directed_diffusion,0,0.772713,1.945116,1.965716,1.050865,0.025328,1.286021,1.191336,0.505190,1.286021,translation,0.264925,0.000000,0.000000,1.125293,0.279583,1.286021,0,endpoint_collision
1,0,goal_directed_diffusion,1,0.019377,0.539889,0.339122,1.050865,0.025328,1.286021,1.050865,0.025328,2.333218,rotation,0.000000,0.000000,1.036635,1.050865,0.025328,2.322656,1,accepted
1,1,goal_directed_diffusion,1,0.019377,0.539889,0.339122,1.050865,0.025328,2.322656,0.709366,0.390538,2.322656,translation,0.483551,0.000000,0.000000,0.720600,0.378523,2.322656,1,accepted
1,2,goal_directed_diffusion,1,0.019377,0.539889,0.339122,0.720600,0.378523,2.322656,0.379101,0.743733,2.322656,translation,0.498485,0.000000,0.000000,0.380136,0.742626,2.322656,0,endpoint_collision
2,0,goal_directed_diffusion,2,1.027982,-0.376554,1.950367,1.050865,0.025328,2.322656,1.050865,0.025328,-2.913332,rotation,0.000000,0.000000,0.697517,1.050865,0.025328,3.020172,1,accepted
2,1,goal_directed_diffusion,2,1.027982,-0.376554,1.950367,1.050865,0.025328,3.020172,1.050865,0.025328,-2.215815,rotation,0.000000,0.000000,0.866320,1.050865,0.025328,-2.396693,1,accepted
2,2,goal_directed_diffusion,2,1.027982,-0.376554,1.950367,1.050865,0.025328,-2.396693,0.754941,-0.247548,-2.396693,translation,-0.008312,0.000000,0.000000,1.056975,0.030962,-2.396693,0,positional_no_progress
3,0,goal_directed_diffusion,3,0.337471,1.634262,2.216881,0.720600,0.378523,2.322656,0.379101,0.743733,2.322656,translation,0.468451,0.000000,0.000000,0.400649,0.720689,2.322656,0,endpoint_collision
4,0,goal_directed_diffusion,3,-0.187979,1.369914,1.636854,0.720600,0.378523,2.322656,0.379101,0.743733,2.322656,translation,0.476165,0.000000,0.000000,0.395381,0.726323,2.322656,0,endpoint_collision
5,0,goal_directed_diffusion,1,1.431744,0.585969,0.379081,1.050865,0.025328,1.286021,1.191336,0.505190,1.286021,translation,0.290993,0.000000,0.000000,1.132617,0.304601,1.286021,0,endpoint_collision
6,0,lateral_diffusion,4,1.014493,-0.272751,3.020172,1.050865,0.025328,3.020172,1.014493,-0.272751,3.020172,sideways,0.000000,-0.156156,0.000000,1.069779,0.180334,3.020172,0,positional_no_progress
7,0,goal_directed_diffusion,1,-0.339758,1.527609,-0.324104,1.050865,0.025328,1.286021,1.050865,0.025328,2.317616,rotation,0.000000,0.000000,0.918915,1.050865,0.025328,2.204936,1,accepted
7,1,goal_directed_diffusion,1,-0.339758,1.527609,-0.324104,1.050865,0.025328,2.204936,0.754622,0.428118,2.204936,translation,0.494912,0.000000,0.000000,0.757637,0.424019,2.204936,1,accepted
7,2,goal_directed_diffusion,1,-0.339758,1.527609,-0.324104,0.757637,0.424019,2.204936,0.461395,0.826810,2.204936,translation,0.497897,0.000000,0.000000,0.462641,0.825116,2.204936,0,endpoint_collision
8,0,goal_directed_diffusion,6,1.078180,0.153177,2.216746,1.050865,0.025328,2.204936,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
9,0,goal_directed_diffusion,1,0.854452,0.516948,0.628963,1.050865,0.025328,1.286021,1.191336,0.505190,1.286021,translation,0.370702,0.000000,0.000000,1.155010,0.381099,1.286021,0,endpoint_collision
10,0,goal_directed_diffusion,3,0.412315,0.526283,2.471150,0.720600,0.378523,2.322656,0.487106,0.628229,2.322656,translation,0.319116,0.000000,0.000000,0.502645,0.611611,2.322656,0,endpoint_collision
11,0,goal_directed_diffusion,5,0.028436,1.365308,-2.793861,1.050865,0.025328,-2.396693,1.050865,0.025328,2.839295,rotation,0.000000,0.000000,-0.778834,1.050865,0.025328,3.107658,1,accepted
11,1,goal_directed_diffusion,5,0.028436,1.365308,-2.793861,1.050865,0.025328,3.107658,1.050865,0.025328,2.222577,rotation,0.000000,0.000000,-0.786086,1.050865,0.025328,2.321572,1,accepted
11,2,goal_directed_diffusion,5,0.028436,1.365308,-2.793861,1.050865,0.025328,2.321572,0.709762,0.390907,2.321572,translation,0.476318,0.000000,0.000000,0.725918,0.373592,2.321572,1,accepted
11,3,goal_directed_diffusion,5,0.028436,1.365308,-2.793861,0.725918,0.373592,2.321572,0.384815,0.739172,2.321572,translation,0.365483,0.000000,0.000000,0.476583,0.640819,2.321572,0,endpoint_collision
12,0,goal_directed_diffusion,8,0.488178,1.539642,-3.059530,1.050865,0.025328,3.107658,1.050865,0.025328,2.060461,rotation,0.000000,0.000000,-1.004404,1.050865,0.025328,2.103255,1,accepted
12,1,goal_directed_diffusion,8,0.488178,1.539642,-3.059530,1.050865,0.025328,2.103255,0.797038,0.456108,2.103255,translation,0.496710,0.000000,0.000000,0.798709,0.453274,2.103255,1,accepted
12,2,goal_directed_diffusion,8,0.488178,1.539642,-3.059530,0.798709,0.453274,2.103255,0.544882,0.884054,2.103255,translation,0.499792,0.000000,0.000000,0.544988,0.883875,2.103255,0,endpoint_collision
13,0,lateral_diffusion,3,0.433291,0.109867,2.322656,0.720600,0.378523,2.322656,0.433291,0.109867,2.322656,sideways,0.000000,0.358635,0.000000,0.458646,0.133576,2.322656,1,accepted
13,1,lateral_diffusion,3,0.433291,0.109867,2.322656,0.458646,0.133576,2.322656,nan,nan,nan,sideways,nan,nan,nan,nan,nan,nan,0,sample_reached
14,0,goal_directed_diffusion,3,1.049104,1.120874,2.460187,0.720600,0.378523,2.322656,0.720600,0.378523,1.275458,rotation,0.000000,0.000000,-1.026071,0.720600,0.378523,1.296585,1,accepted
14,1,goal_directed_diffusion,3,1.049104,1.120874,2.460187,0.720600,0.378523,1.296585,0.855994,0.859842,1.296585,translation,0.500001,0.000000,0.000000,0.855995,0.859843,1.296585,0,endpoint_collision
