iter,rollout_step,extension_type,near_idx,sample_x,sample_y,sample_theta,current_x,current_y,current_theta,local_x,local_y,local_theta,target_mode,action_dx_robot,action_dy_robot,action_dtheta,candidate_x,candidate_y,candidate_theta,accepted,status
0,0,goal_directed_diffusion,0,1.036776,1.610829,2.899687,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,translation,0.411833,0.000000,0.000000,0.802253,0.160380,1.443274,0,endpoint_collision
1,0,goal_directed_diffusion,0,1.058701,1.342575,-2.234871,0.749877,-0.248109,1.443274,0.813466,0.247831,1.443274,translation,0.358593,0.000000,0.000000,0.795482,0.107572,1.443274,0,endpoint_collision
2,0,goal_directed_diffusion,0,1.293761,-0.467985,-1.136801,0.749877,-0.248109,1.443274,0.749877,-0.248109,0.396076,rotation,0.000000,0.000000,-0.771664,0.749877,-0.248109,0.671610,1,accepted
2,1,goal_directed_diffusion,0,1.293761,-0.467985,-1.136801,0.749877,-0.248109,0.671610,0.749877,-0.248109,-0.375588,rotation,0.000000,0.000000,-0.690448,0.749877,-0.248109,-0.018839,1,accepted
2,2,goal_directed_diffusion,0,1.293761,-0.467985,-1.136801,0.749877,-0.248109,-0.018839,1.249788,-0.257528,-0.018839,translation,-0.004451,0.000000,0.000000,0.745427,-0.248025,-0.018839,0,positional_no_progress
3,0,goal_directed_diffusion,2,-0.104838,1.980913,-1.690197,0.749877,-0.248109,-0.018839,0.749877,-0.248109,1.028359,rotation,0.000000,0.000000,0.783911,0.749877,-0.248109,0.765072,1,accepted
3,1,goal_directed_diffusion,2,-0.104838,1.980913,-1.690197,0.749877,-0.248109,0.765072,0.749877,-0.248109,1.812270,rotation,0.000000,0.000000,0.947183,0.749877,-0.248109,1.712255,1,accepted
3,2,goal_directed_diffusion,2,-0.104838,1.980913,-1.690197,0.749877,-0.248109,1.712255,0.679383,0.246897,1.712255,translation,0.473030,0.000000,0.000000,0.683186,0.220196,1.712255,0,endpoint_collision
4,0,goal_directed_diffusion,2,0.712050,1.887744,-1.454726,0.749877,-0.248109,-0.018839,0.749877,-0.248109,1.028359,rotation,0.000000,0.000000,0.864765,0.749877,-0.248109,0.845926,1,accepted
4,1,goal_directed_diffusion,2,0.712050,1.887744,-1.454726,0.749877,-0.248109,0.845926,1.081396,0.126184,0.845926,translation,0.153209,0.000000,0.000000,0.851460,-0.133419,0.845926,1,accepted
4,2,goal_directed_diffusion,2,0.712050,1.887744,-1.454726,0.851460,-0.133419,0.845926,0.851460,-0.133419,1.639662,rotation,0.000000,0.000000,0.875666,0.851460,-0.133419,1.721592,1,accepted
4,3,goal_directed_diffusion,2,0.712050,1.887744,-1.454726,0.851460,-0.133419,1.721592,0.776348,0.360907,1.721592,translation,0.478811,0.000000,0.000000,0.779531,0.339959,1.721592,0,endpoint_collision
5,0,goal_directed_diffusion,2,0.498013,1.058612,-0.574563,0.749877,-0.248109,-0.018839,0.749877,-0.248109,1.028359,rotation,0.000000,0.000000,0.718553,0.749877,-0.248109,0.699714,1,accepted
5,1,goal_directed_diffusion,2,0.498013,1.058612,-0.574563,0.749877,-0.248109,0.699714,0.749877,-0.248109,1.746912,rotation,0.000000,0.000000,0.928333,0.749877,-0.248109,1.628047,1,accepted
5,2,goal_directed_diffusion,2,0.498013,1.058612,-0.574563,0.749877,-0.248109,1.628047,0.721267,0.251072,1.628047,translation,0.490299,0.000000,0.000000,0.721822,0.241387,1.628047,0,endpoint_collision
6,0,goal_directed_diffusion,7,0.729904,0.976248,2.112856,0.851460,-0.133419,1.721592,0.776348,0.360907,1.721592,translation,0.494873,0.000000,0.000000,0.777118,0.355838,1.721592,0,endpoint_collision
7,0,goal_directed_diffusion,2,-0.332253,1.124903,-0.352158,0.749877,-0.248109,-0.018839,0.749877,-0.248109,1.028359,rotation,0.000000,0.000000,0.893116,0.749877,-0.248109,0.874277,1,accepted
7,1,goal_directed_diffusion,2,-0.332253,1.124903,-0.352158,0.749877,-0.248109,0.874277,0.749877,-0.248109,1.921475,rotation,0.000000,0.000000,0.932392,0.749877,-0.248109,1.806669,1,accepted
7,2,goal_directed_diffusion,2,-0.332253,1.124903,-0.352158,0.749877,-0.248109,1.806669,0.633031,0.238046,1.806669,translation,0.475746,0.000000,0.000000,0.638699,0.214464,1.806669,0,endpoint_collision
8,0,goal_directed_diffusion,9,0.488586,0.513629,1.618740,0.749877,-0.248109,1.628047,0.721267,0.251072,1.628047,translation,0.454306,0.000000,0.000000,0.723882,0.205452,1.628047,0,endpoint_collision
9,0,goal_directed_diffusion,2,-0.215037,1.754849,-0.123076,0.749877,-0.248109,-0.018839,0.749877,-0.248109,1.028359,rotation,0.000000,0.000000,0.779002,0.749877,-0.248109,0.760163,1,accepted
9,1,goal_directed_diffusion,2,-0.215037,1.754849,-0.123076,0.749877,-0.248109,0.760163,0.749877,-0.248109,1.807361,rotation,0.000000,0.000000,0.943666,0.749877,-0.248109,1.703829,1,accepted
9,2,goal_directed_diffusion,2,-0.215037,1.754849,-0.123076,0.749877,-0.248109,1.703829,0.683556,0.247473,1.703829,translation,0.493674,0.000000,0.000000,0.684396,0.241203,1.703829,0,endpoint_collision
10,0,goal_directed_diffusion,7,1.329492,1.498711,2.644190,0.851460,-0.133419,1.721592,0.776348,0.360907,1.721592,translation,0.477524,0.000000,0.000000,0.779724,0.338687,1.721592,0,endpoint_collision
11,0,goal_directed_diffusion,2,1.083700,-0.120419,-1.159585,0.749877,-0.248109,-0.018839,1.107224,-0.254842,-0.018839,translation,-0.097848,0.000000,0.000000,0.652046,-0.246266,-0.018839,0,positional_no_progress
12,0,goal_directed_diffusion,2,-0.286139,0.959799,-0.842053,0.749877,-0.248109,-0.018839,0.749877,-0.248109,1.028359,rotation,0.000000,0.000000,0.822673,0.749877,-0.248109,0.803834,1,accepted
12,1,goal_directed_diffusion,2,-0.286139,0.959799,-0.842053,0.749877,-0.248109,0.803834,0.749877,-0.248109,1.851032,rotation,0.000000,0.000000,1.032067,0.749877,-0.248109,1.835901,1,accepted
12,2,goal_directed_diffusion,2,-0.286139,0.959799,-0.842053,0.749877,-0.248109,1.835901,0.618872,0.234424,1.835901,translation,0.499443,0.000000,0.000000,0.619018,0.233886,1.835901,0,endpoint_collision
13,0,goal_directed_diffusion,2,-0.085271,1.436346,-1.090173,0.749877,-0.248109,-0.018839,0.749877,-0.248109,1.028359,rotation,0.000000,0.000000,0.737930,0.749877,-0.248109,0.719091,1,accepted
13,1,goal_directed_diffusion,2,-0.085271,1.436346,-1.090173,0.749877,-0.248109,0.719091,0.749877,-0.248109,1.766289,rotation,0.000000,0.000000,0.779713,0.749877,-0.248109,1.498805,1,accepted
13,2,goal_directed_diffusion,2,-0.085271,1.436346,-1.090173,0.749877,-0.248109,1.498805,0.785842,0.250596,1.498805,translation,0.421376,0.000000,0.000000,0.780186,0.172176,1.498805,0,endpoint_collision
