comparison_idx,trial,seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s
5,1,101,3041,1,1.775503,0.010420,4041,0,nan,68.316312
5,2,211,3042,1,1.899588,0.009783,4042,1,1.734847,50.886999
5,3,307,3043,1,1.848741,0.009599,4043,1,2.455386,50.010252
5,4,401,3044,1,1.784419,0.009756,4044,1,1.874805,55.865246
5,5,503,3045,1,1.757293,0.010017,4045,1,1.661391,55.986380
5,6,601,3046,1,1.869688,0.008314,4046,1,1.904927,38.811537
5,7,701,3047,1,1.883847,0.008047,4047,1,1.942378,35.324880
5,8,809,3048,1,1.816550,0.008878,4048,1,1.899163,37.056964
5,9,907,3049,1,1.692397,0.032095,4049,1,1.691091,40.256656
5,10,1009,3050,1,2.000000,0.019138,4050,1,1.849295,40.014248
