comparison_idx,trial,seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s
2,1,101,3011,1,2.279875,0.009001,4011,1,2.934146,71.619051
2,2,211,3012,1,2.499999,0.010180,4012,0,nan,62.019328
2,3,307,3013,1,2.281596,0.010781,4013,0,nan,51.617353
2,4,401,3014,1,2.315747,0.009483,4014,0,nan,56.193644
2,5,503,3015,1,2.759618,0.010829,4015,1,2.365705,43.873715
2,6,601,3016,1,2.354703,0.030872,4016,1,3.126911,61.887655
2,7,701,3017,1,2.059731,0.008617,4017,0,nan,41.714913
2,8,809,3018,1,2.253418,0.012514,4018,0,nan,38.703490
2,9,907,3019,1,2.332991,0.011138,4019,0,nan,52.130073
2,10,1009,3020,1,2.258338,0.019770,4020,1,2.423356,51.512247
