[[0.635894, -0.471324, 0.791522], [1.173886, 0.641133, 1.337557]]
[[0.008178, -0.791480, 0.791522], [1.219817, -0.548732, 1.337557]]
[[-0.486689, -0.791480, 0.929142], [0.724950, -0.548732, 0.909208]]
[[-0.905556, -0.208026, 0.929142], [0.117141, -0.901630, 0.909208]]
[[-0.828639, 0.420313, 0.929142], [-0.487590, -0.767408, 0.909208]]
[[-0.695691, 0.615889, 0.929142], [-0.665530, -0.619459, 0.909208]]
[[-0.307719, 0.876707, 0.929142], [-0.882942, -0.216963, 0.909208]]
[[-0.011536, 0.929071, 0.929142], [-0.905988, 0.076457, 0.909208]]
[[0.124779, 0.920726, 0.929142], [-0.884993, 0.208438, 0.909208]]
[[0.245211, 0.896201, 0.929142], [-0.849740, 0.323422, 0.909208]]
[[0.307689, 0.876717, 0.929142], [-0.824865, 0.382435, 0.909208]]
[[0.592392, 0.715805, 0.929142], [-0.641268, 0.644543, 0.909208]]
[[0.925285, 0.084578, 0.929142], [0.004958, 0.909195, 0.909208]]
[[0.641619, -0.672034, 0.929142], [0.715111, 0.561495, 0.909208]]
[[0.149119, -0.672034, 0.688380], [0.222611, 0.561495, 0.604013]]
[[-0.350391, -0.672034, 0.757894], [-0.276900, 0.561495, 0.626059]]
