iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
39,random_sample,10,0.437614,0.741491,0.531301,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.460314,0.760247,-0.372358,0,duplicate_candidate
40,random_sample,0,1.214414,0.101026,1.778896,0.610979,-0.228338,1.722037,0.610979,-0.228338,0.674839,1.001383,0.084048,0.674839,0,translation_collision
41,random_sample,18,-0.065999,1.202707,-0.309548,0.460314,0.760247,-0.372358,0.460314,0.760247,0.674839,0.850718,1.072633,0.674839,1,accepted
42,random_sample,3,-0.338060,1.139322,2.104153,0.384982,1.254540,1.722037,0.384982,1.254540,2.769235,-0.080754,1.436446,2.769235,0,translation_collision
43,random_sample,18,1.044871,1.315746,-0.823900,0.460314,0.760247,-0.372358,0.460314,0.760247,0.674839,0.850718,1.072633,0.674839,0,duplicate_candidate
44,random_sample,3,0.767165,1.602623,1.580479,0.384982,1.254540,1.722037,0.384982,1.254540,0.738737,0.754641,1.591217,0.738737,1,accepted
45,random_sample,18,0.989932,0.511236,-0.568830,0.460314,0.760247,-0.372358,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
46,random_sample,18,0.003422,1.780536,-1.563392,0.460314,0.760247,-0.372358,0.460314,0.760247,0.674839,0.850718,1.072633,0.674839,0,duplicate_candidate
47,lateral_motion,14,nan,nan,nan,0.586646,1.309551,0.674839,0.586646,1.309551,0.674839,0.299917,1.667891,0.674839,1,accepted
48,random_sample,10,-0.347704,0.296563,0.441572,0.460314,0.760247,0.674839,0.460314,0.760247,1.722037,0.384982,1.254540,1.722037,0,duplicate_candidate
49,random_sample,6,1.499416,-0.447470,2.948473,0.259053,-0.281973,2.769235,0.259053,-0.281973,1.722037,0.183721,0.212320,1.722037,0,duplicate_candidate
50,random_sample,4,0.853482,1.510376,-2.791100,0.460314,0.760247,2.769235,0.460314,0.760247,1.722037,0.384982,1.254540,1.722037,0,duplicate_candidate
51,random_sample,10,0.560898,0.561637,0.396986,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.460314,0.760247,-0.372358,0,duplicate_candidate
52,random_sample,7,0.031408,0.286809,2.992729,-0.206683,-0.100066,2.769235,-0.206683,-0.100066,1.722037,-0.275125,0.349016,1.722037,0,translation_collision
53,random_sample,18,0.938436,0.464439,-1.261069,0.460314,0.760247,-0.372358,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
54,random_sample,2,0.095980,0.876183,1.202896,0.460314,0.760247,1.722037,0.460314,0.760247,2.769235,0.104179,0.899346,2.769235,0,translation_collision
55,random_sample,6,0.272421,0.067380,2.970808,0.259053,-0.281973,2.769235,0.259053,-0.281973,1.722037,0.206380,0.063645,1.722037,1,accepted
56,random_sample,2,0.591155,0.857743,1.605397,0.460314,0.760247,1.722037,0.460314,0.760247,0.674839,0.460314,0.760247,0.674839,0,duplicate_candidate
57,random_sample,20,0.628219,1.311927,0.791450,0.384982,1.254540,0.738737,0.384982,1.254540,0.738737,0.384982,1.254540,0.738737,0,zero_motion
58,random_sample,20,0.557843,1.204365,1.193976,0.384982,1.254540,0.738737,0.384982,1.254540,-0.282498,0.384982,1.254540,-0.282498,0,duplicate_candidate
59,random_sample,7,-0.287198,0.133024,-1.737918,-0.206683,-0.100066,2.769235,-0.206683,-0.100066,1.903392,-0.206683,-0.100066,1.903392,0,duplicate_candidate
60,random_sample,18,0.635866,-0.000727,-0.736545,0.460314,0.760247,-0.372358,0.460314,0.760247,-1.344069,0.572709,0.273044,-1.344069,0,translation_collision
61,random_sample,24,0.670970,1.205175,-1.520029,0.384982,1.254540,-0.282498,0.384982,1.254540,-0.282498,0.663695,1.173640,-0.282498,1,accepted
