[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.335557, -0.726770, 0.800495], [1.431084, -0.189011, 1.443512]]
[[-0.164443, -0.726770, 0.745141], [0.931084, -0.189011, 0.950075]]
[[-0.694934, -0.268890, 0.745141], [0.362462, -0.878216, 0.950075]]
[[-0.765620, -0.268890, 0.811465], [0.291776, -0.878216, 0.925417]]
[[-0.731527, 0.351203, 0.811465], [-0.414632, -0.827331, 0.925417]]
[[-0.585855, 0.561471, 0.811465], [-0.651571, -0.657154, 0.925417]]
[[-0.242686, 0.774325, 0.811465], [-0.887634, -0.261728, 0.925417]]
[[0.114732, 0.803313, 0.811465], [-0.913766, 0.146383, 0.925417]]
[[0.471521, 0.660412, 0.811465], [-0.743910, 0.550449, 0.925417]]
[[0.790531, 0.183129, 0.811465], [-0.193503, 0.904960, 0.925417]]
[[0.600230, -0.546077, 0.811465], [0.634297, 0.673842, 0.925417]]
[[0.107168, -0.546077, 0.556493], [0.141235, 0.673843, 0.688485]]
[[0.526497, -0.180236, 0.556493], [-0.512941, 0.459242, 0.688485]]
[[0.176900, -0.527628, 0.556493], [0.052890, 0.686451, 0.688485]]
[[-0.323101, -0.527628, 0.618696], [-0.447111, 0.686450, 0.819221]]
[[-0.613395, -0.080819, 0.618696], [0.252263, 0.779414, 0.819221]]
[[-1.113396, -0.080818, 1.116325], [-0.247737, 0.779414, 0.817839]]
[[-0.663608, 0.897667, 1.116325], [0.526186, 0.626090, 0.817839]]
