0.749877, -0.248109, 1.443274
0.749877, -0.248109, 0.699811
0.749877, -0.248109, 1.628143
0.749877, -0.248109, 2.642666
0.310828, -0.008867, 2.642666
0.158600, 0.074084, 2.642666
0.158600, 0.074084, -2.772904
0.158600, 0.074084, 2.883496
0.158600, 0.074084, 2.017085
0.158600, 0.074084, 1.043376
0.406917, 0.500411, 1.043376
0.656003, 0.928058, 1.043376
0.907656, 1.360113, 1.043376
1.081405, 1.658417, 1.043376
1.081405, 1.658417, 1.744515
1.081405, 1.658417, 2.755562
1.081405, 1.658417, 2.508545
1.081405, 1.658417, 2.361733
1.081405, 1.658417, 2.237650
1.081405, 1.658417, 2.171478
1.081405, 1.658417, 1.937743
1.081405, 1.658417, 1.594731
1.081405, 1.658417, 1.434231
1.081405, 1.658417, 1.179328
1.081405, 1.658417, 0.656301
1.081405, 1.658417, -0.322076
1.081405, 1.658417, -1.125144
1.081405, 1.658417, -2.037295
1.081405, 1.658417, -2.959864
0.639150, 1.577150, -2.959864
0.350095, 1.524035, -2.959864
