[[0.784768, -0.157900, 0.800495], [0.996995, 1.043900, 1.443512]]
[[0.672592, 0.434066, 0.800495], [-0.013344, 1.443450, 1.443512]]
[[0.756775, -0.260931, 0.800495], [1.127048, 0.901937, 1.443512]]
[[0.246205, -0.761693, 0.800495], [1.398196, -0.358853, 1.443512]]
[[-0.248896, -0.761693, 0.801328], [0.903096, -0.358853, 0.971781]]
[[-0.720123, -0.351495, 0.801328], [0.370975, -0.898184, 0.971781]]
[[-0.768051, 0.228523, 0.801328], [-0.334676, -0.912332, 0.971781]]
[[-0.764373, 0.240542, 0.801328], [-0.348945, -0.906970, 0.971781]]
[[-0.515790, 0.613259, 0.801328], [-0.781266, -0.577911, 0.971781]]
[[-0.034060, 0.800603, 0.801328], [-0.971588, 0.019320, 0.971781]]
[[0.393632, 0.697983, 0.801328], [-0.815038, 0.529217, 0.971781]]
[[0.777580, 0.193638, 0.801328], [-0.175567, 0.955789, 0.971781]]
[[0.624875, -0.501654, 0.801328], [0.654434, 0.718383, 0.971781]]
[[0.134744, -0.501654, 0.519435], [0.164303, 0.718383, 0.736932]]
[[-0.365257, -0.501653, 0.620539], [-0.335698, 0.718384, 0.792949]]
[[-0.803380, -0.501654, 0.947141], [-0.773821, 0.718383, 1.055876]]
[[-0.866556, 0.382305, 0.947141], [0.158988, 1.043837, 1.055876]]
[[-0.878555, -0.353860, 0.947141], [-0.636680, 0.842325, 1.055876]]
[[-0.413772, -0.851979, 0.947141], [-1.037317, 0.197094, 1.055876]]
[[-0.889121, -0.326405, 0.947141], [-0.610212, 0.861692, 1.055876]]
[[-0.763455, 0.560547, 0.947141], [0.380821, 0.984809, 1.055876]]
