iter,rollout_step,extension_type,near_idx,sample_x,sample_y,sample_theta,current_x,current_y,current_theta,local_x,local_y,local_theta,target_mode,action_dx_robot,action_dy_robot,action_dtheta,candidate_x,candidate_y,candidate_theta,accepted,status
0,0,goal_directed_diffusion,0,-0.497669,1.478746,-0.693571,0.958697,-0.289525,1.286021,0.958697,-0.289525,2.259769,rotation,0.000000,0.000000,1.035913,0.958697,-0.289525,2.321933,1,accepted
0,1,goal_directed_diffusion,0,-0.497669,1.478746,-0.693571,0.958697,-0.289525,2.321933,0.617462,0.075931,2.321933,translation,0.499404,0.000000,0.000000,0.617869,0.075495,2.321933,1,accepted
0,2,goal_directed_diffusion,0,-0.497669,1.478746,-0.693571,0.617869,0.075495,2.321933,0.276634,0.440952,2.321933,translation,0.452306,0.000000,0.000000,0.309184,0.406092,2.321933,0,endpoint_collision
1,0,goal_directed_diffusion,1,0.995484,0.049138,-1.474334,0.958697,-0.289525,2.321933,0.958697,-0.289525,1.462598,rotation,0.000000,0.000000,-1.047155,0.958697,-0.289525,1.274778,1,accepted
1,1,goal_directed_diffusion,1,0.995484,0.049138,-1.474334,0.958697,-0.289525,1.274778,1.058071,0.036314,1.274778,translation,0.386819,0.000000,0.000000,1.071538,0.080469,1.274778,1,accepted
1,2,goal_directed_diffusion,1,0.995484,0.049138,-1.474334,1.071538,0.080469,1.274778,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
2,0,goal_directed_diffusion,2,1.106283,0.849985,-1.544723,0.617869,0.075495,2.321933,0.617869,0.075495,1.274736,rotation,0.000000,0.000000,-1.047198,0.617869,0.075495,1.274735,1,accepted
2,1,goal_directed_diffusion,2,1.106283,0.849985,-1.544723,0.617869,0.075495,1.274735,0.763746,0.553742,1.274735,translation,0.500001,0.000000,0.000000,0.763747,0.553743,1.274735,1,accepted
2,2,goal_directed_diffusion,2,1.106283,0.849985,-1.544723,0.763747,0.553743,1.274735,0.895873,0.986909,1.274735,translation,0.491799,0.000000,0.000000,0.907231,1.024145,1.274735,0,endpoint_collision
3,0,goal_directed_diffusion,2,0.418070,0.420835,-2.097399,0.617869,0.075495,2.321933,0.345582,0.367110,2.321933,translation,0.387892,0.000000,0.000000,0.353144,0.359011,2.321933,0,endpoint_collision
4,0,goal_directed_diffusion,2,-0.176989,1.626392,2.393099,0.617869,0.075495,2.321933,0.276634,0.440952,2.321933,translation,0.463785,0.000000,0.000000,0.301349,0.414483,2.321933,0,endpoint_collision
5,0,goal_directed_diffusion,6,-0.376210,1.261067,0.511152,0.763747,0.553743,1.274735,0.763747,0.553743,2.321933,rotation,0.000000,0.000000,1.007740,0.763747,0.553743,2.282476,1,accepted
5,1,goal_directed_diffusion,6,-0.376210,1.261067,0.511152,0.763747,0.553743,2.282476,0.437194,0.932376,2.282476,translation,0.484334,0.000000,0.000000,0.447425,0.920513,2.282476,0,endpoint_collision
6,0,goal_directed_diffusion,7,0.054900,1.079588,-2.152099,0.763747,0.553743,2.282476,0.437194,0.932376,2.282476,translation,0.440887,0.000000,0.000000,0.475801,0.887612,2.282476,0,endpoint_collision
