[[1.023482, 0.007372, 1.023509], [0.752367, 1.232664, 1.444132]]
[[0.542303, -0.868031, 1.023509], [1.444124, 0.004646, 1.444132]]
[[0.047877, -0.868031, 0.869350], [0.949698, 0.004646, 0.949709]]
[[-0.367456, -0.787874, 0.869350], [0.839471, -0.444112, 0.949709]]
[[-0.662601, -0.787874, 1.029459], [0.544326, -0.444112, 0.702514]]
[[-1.029423, 0.008623, 1.029459], [0.004575, -0.702499, 0.702514]]
[[-0.770930, 0.682241, 1.029459], [-0.457685, -0.532964, 0.702514]]
[[-0.407632, 0.945315, 1.029459], [-0.640881, -0.287746, 0.702514]]
[[0.295641, 0.986094, 1.029459], [-0.675851, 0.191708, 0.702514]]
[[0.704887, 0.750280, 1.029459], [-0.519104, 0.473347, 0.702514]]
[[0.969654, 0.345769, 1.029459], [-0.245782, 0.658117, 0.702514]]
[[0.818745, -0.624053, 1.029459], [0.417496, 0.564999, 0.702514]]
[[0.319055, -0.624053, 0.700884], [-0.082193, 0.564999, 0.570946]]
[[-0.174745, -0.624053, 0.648057], [-0.575994, 0.564999, 0.806841]]
