comparison_idx,trial,seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s
4,1,101,3031,1,1.775503,0.011302,4031,0,nan,47.006323
4,2,211,3032,1,1.899588,0.009748,4032,1,1.734847,52.438525
4,3,307,3033,1,1.848741,0.009870,4033,1,2.455386,41.764758
4,4,401,3034,1,1.784419,0.009715,4034,1,1.874805,38.562793
4,5,503,3035,1,1.757293,0.010001,4035,1,1.661391,55.703917
4,6,601,3036,1,1.869688,0.010018,4036,1,1.904927,39.020221
4,7,701,3037,1,1.883847,0.009935,4037,1,1.942378,36.116126
4,8,809,3038,1,1.816550,0.010487,4038,1,1.899163,38.138664
4,9,907,3039,1,1.692397,0.009857,4039,1,1.691091,58.695831
4,10,1009,3040,1,2.000000,0.009699,4040,1,1.849295,59.786535
