1.706845, -0.255280, 1.725830
1.210566, -0.255280, 1.237190
0.714152, -0.255280, 0.758406
0.220858, -0.255280, 0.337559
-0.260285, -0.255279, 0.364576
-0.358451, -0.066547, 0.364576
-0.254844, -0.260711, 0.364576
-0.032233, -0.363148, 0.364576
0.232088, -0.281160, 0.364576
0.192049, -0.281160, 0.340490
0.124455, -0.281160, 0.307474
0.101804, -0.281160, 0.299024
0.056188, -0.281161, 0.286720
-0.017321, -0.281160, 0.281693
-0.116467, -0.281160, 0.304328
0.129250, -0.275518, 0.304328
0.239483, -0.187785, 0.304328
0.304207, 0.008561, 0.304328
0.222519, 0.008561, 0.222683
0.210334, 0.008561, 0.210508
