iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
0,random_sample,0,0.590219,1.086255,-0.794867,0.610979,-0.228338,1.722037,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,1,accepted
1,random_sample,0,0.044201,-0.377347,-1.366936,0.610979,-0.228338,1.722037,0.610979,-0.228338,2.769235,0.145243,-0.046431,2.769235,1,accepted
2,random_sample,3,0.150093,-0.242745,2.893806,0.145243,-0.046431,2.769235,0.145243,-0.046431,-2.466753,0.145243,-0.046431,-2.466753,0,duplicate_candidate
3,random_sample,4,0.013815,-0.291763,-2.072601,0.145243,-0.046431,-2.466753,0.145243,-0.046431,-2.466753,-0.072070,-0.220317,-2.466753,1,accepted
4,random_sample,2,0.932750,0.594571,2.640721,0.610979,-0.228338,2.769235,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,0,duplicate_candidate
5,random_sample,0,1.057682,-0.125540,0.679525,0.610979,-0.228338,1.722037,0.610979,-0.228338,0.674839,0.968884,0.058044,0.674839,0,translation_collision
6,random_sample,1,1.452691,0.720670,0.551382,0.535646,0.265955,1.722037,0.535646,0.265955,0.674839,0.926050,0.578341,0.674839,0,rotation_collision
7,random_sample,1,0.358275,0.440958,0.327975,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0,zero_motion
8,random_sample,4,-0.478229,1.814230,-1.862906,0.145243,-0.046431,-2.466753,0.145243,-0.046431,2.769235,-0.320493,0.135475,2.769235,0,translation_collision
9,random_sample,2,1.449506,0.714887,2.543456,0.610979,-0.228338,2.769235,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,0,duplicate_candidate
10,random_sample,4,0.677714,1.663418,-2.606207,0.145243,-0.046431,-2.466753,0.145243,-0.046431,2.769235,-0.320493,0.135475,2.769235,0,translation_collision
11,random_sample,4,1.397324,0.138361,-2.405801,0.145243,-0.046431,-2.466753,0.145243,-0.046431,-1.419556,0.220575,-0.540724,-1.419556,0,translation_collision
12,random_sample,4,0.886346,-0.406529,-0.940542,0.145243,-0.046431,-2.466753,0.145243,-0.046431,-1.419556,0.220575,-0.540724,-1.419556,0,translation_collision
13,random_sample,1,-0.125655,1.896145,-0.314691,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0.460314,0.760247,1.722037,1,accepted
14,random_sample,2,0.393452,-0.405824,-3.077022,0.610979,-0.228338,2.769235,0.610979,-0.228338,-2.466753,0.391769,-0.403741,-2.466753,0,translation_collision
15,random_sample,6,0.328108,0.906189,2.199809,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0,zero_motion
16,random_sample,0,0.476335,-0.365950,1.306432,0.610979,-0.228338,1.722037,0.610979,-0.228338,2.769235,0.610979,-0.228338,2.769235,0,duplicate_candidate
17,random_sample,6,0.579149,1.031822,1.650721,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0.415652,1.053300,1.722037,1,accepted
18,random_sample,7,0.456192,1.619824,2.979460,0.415652,1.053300,1.722037,0.415652,1.053300,1.722037,0.340319,1.547592,1.722037,1,accepted
