[[0.793608, -0.862168, 1.171814], [1.220924, 0.195735, 1.236514]]
[[1.143463, 0.256201, 1.171814], [0.440951, 1.155219, 1.236514]]
[[0.966791, -0.662165, 1.171814], [1.145898, 0.464634, 1.236514]]
[[0.466791, -0.662165, 0.810158], [0.645898, 0.464634, 0.795657]]
[[0.806847, 0.073170, 0.810158], [-0.079436, 0.791681, 0.795657]]
[[0.621419, -0.519803, 0.810158], [0.504638, 0.615150, 0.795657]]
[[0.121419, -0.519803, 0.533795], [0.004638, 0.615150, 0.615168]]
[[-0.378581, -0.519803, 0.643054], [-0.495362, 0.615150, 0.789806]]
[[-0.643039, 0.004385, 0.643054], [0.210812, 0.761152, 0.789806]]
