iter,rollout_step,extension_type,near_idx,sample_x,sample_y,sample_theta,current_x,current_y,current_theta,local_x,local_y,local_theta,target_mode,action_dx_robot,action_dy_robot,action_dtheta,candidate_x,candidate_y,candidate_theta,accepted,status
0,0,goal_directed_diffusion,0,0.696397,1.093455,-1.025879,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,translation,0.328066,0.000000,0.000000,1.050865,0.025328,1.286021,1,accepted
0,1,goal_directed_diffusion,0,0.696397,1.093455,-1.025879,1.050865,0.025328,1.286021,1.191336,0.505190,1.286021,translation,0.264925,0.000000,0.000000,1.125293,0.279583,1.286021,0,endpoint_collision
1,0,goal_directed_diffusion,0,0.538258,-0.364248,0.425474,0.958697,-0.289525,1.286021,0.958697,-0.289525,2.333218,rotation,0.000000,0.000000,1.019578,0.958697,-0.289525,2.305599,1,accepted
1,1,goal_directed_diffusion,0,0.538258,-0.364248,0.425474,0.958697,-0.289525,2.305599,0.958697,-0.289525,-2.965704,rotation,0.000000,0.000000,0.813103,0.958697,-0.289525,3.118702,1,accepted
1,2,goal_directed_diffusion,0,0.538258,-0.364248,0.425474,0.958697,-0.289525,3.118702,0.531782,-0.279751,3.118702,translation,0.477033,0.000000,0.000000,0.481789,-0.278607,3.118702,1,accepted
1,3,goal_directed_diffusion,0,0.538258,-0.364248,0.425474,0.481789,-0.278607,3.118702,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
2,0,goal_directed_diffusion,1,0.794471,0.048462,-0.450566,1.050865,0.025328,1.286021,1.050865,0.025328,2.333218,rotation,0.000000,0.000000,0.914888,1.050865,0.025328,2.200909,1,accepted
2,1,goal_directed_diffusion,1,0.794471,0.048462,-0.450566,1.050865,0.025328,2.200909,1.050865,0.025328,3.051606,rotation,0.000000,0.000000,0.877392,1.050865,0.025328,3.078301,1,accepted
2,2,goal_directed_diffusion,1,0.794471,0.048462,-0.450566,1.050865,0.025328,3.078301,0.793945,0.041610,3.078301,translation,0.188603,0.000000,0.000000,0.862639,0.037257,3.078301,1,accepted
2,3,goal_directed_diffusion,1,0.794471,0.048462,-0.450566,0.862639,0.037257,3.078301,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
3,0,goal_directed_diffusion,1,0.165561,1.903460,0.785861,1.050865,0.025328,1.286021,1.191336,0.505190,1.286021,translation,0.349331,0.000000,0.000000,1.149006,0.360589,1.286021,0,endpoint_collision
4,0,goal_directed_diffusion,7,0.776020,0.455364,-1.963465,0.862639,0.037257,3.078301,0.862639,0.037257,2.031103,rotation,0.000000,0.000000,-1.027477,0.862639,0.037257,2.050824,1,accepted
4,1,goal_directed_diffusion,7,0.776020,0.455364,-1.963465,0.862639,0.037257,2.050824,0.665455,0.415985,2.050824,translation,0.427523,0.000000,0.000000,0.665207,0.416462,2.050824,1,accepted
4,2,goal_directed_diffusion,7,0.776020,0.455364,-1.963465,0.665207,0.416462,2.050824,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
5,0,goal_directed_diffusion,6,1.377745,1.428373,-1.809059,1.050865,0.025328,3.078301,1.050865,0.025328,2.031103,rotation,0.000000,0.000000,-1.003115,1.050865,0.025328,2.075186,1,accepted
5,1,goal_directed_diffusion,6,1.377745,1.428373,-1.809059,1.050865,0.025328,2.075186,0.809228,0.463062,2.075186,translation,0.445129,0.000000,0.000000,0.835746,0.415024,2.075186,1,accepted
5,2,goal_directed_diffusion,6,1.377745,1.428373,-1.809059,0.835746,0.415024,2.075186,0.835746,0.415024,1.079652,rotation,0.000000,0.000000,-1.017429,0.835746,0.415024,1.057757,0,endpoint_collision
6,0,goal_directed_diffusion,1,0.952614,0.987627,1.325550,1.050865,0.025328,1.286021,1.191336,0.505190,1.286021,translation,0.377069,0.000000,0.000000,1.156799,0.387210,1.286021,0,endpoint_collision
7,0,goal_directed_diffusion,9,0.797418,1.335218,1.495659,0.665207,0.416462,2.050824,0.434306,0.859953,2.050824,translation,0.500001,0.000000,0.000000,0.434305,0.859954,2.050824,0,endpoint_collision
8,0,goal_directed_diffusion,1,0.294209,0.913744,1.121201,1.050865,0.025328,1.286021,1.050865,0.025328,2.276270,rotation,0.000000,0.000000,0.984477,1.050865,0.025328,2.270498,1,accepted
8,1,goal_directed_diffusion,1,0.294209,0.913744,1.121201,1.050865,0.025328,2.270498,0.728870,0.407845,2.270498,translation,0.494218,0.000000,0.000000,0.732594,0.403421,2.270498,1,accepted
8,2,goal_directed_diffusion,1,0.294209,0.913744,1.121201,0.732594,0.403421,2.270498,0.410599,0.785938,2.270498,translation,0.435938,0.000000,0.000000,0.451854,0.736929,2.270498,0,endpoint_collision
9,0,goal_directed_diffusion,4,-0.109286,0.609659,-2.382791,0.481789,-0.278607,3.118702,0.481789,-0.278607,2.157940,rotation,0.000000,0.000000,-0.987193,0.481789,-0.278607,2.131509,1,accepted
9,1,goal_directed_diffusion,4,-0.109286,0.609659,-2.382791,0.481789,-0.278607,2.131509,0.215894,0.144832,2.131509,translation,0.407821,0.000000,0.000000,0.264914,0.066768,2.131509,1,accepted
9,2,goal_directed_diffusion,4,-0.109286,0.609659,-2.382791,0.264914,0.066768,2.131509,-0.000981,0.490206,2.131509,translation,0.363375,0.000000,0.000000,0.071675,0.374501,2.131509,0,endpoint_collision
10,0,goal_directed_diffusion,0,1.326737,-0.394845,1.621998,0.958697,-0.289525,1.286021,0.958697,-0.289525,0.238823,rotation,0.000000,0.000000,-0.943191,0.958697,-0.289525,0.342829,1,accepted
10,1,goal_directed_diffusion,0,1.326737,-0.394845,1.621998,0.958697,-0.289525,0.342829,1.319233,-0.160842,0.342829,translation,0.040288,0.000000,0.000000,0.996641,-0.275982,0.342829,1,accepted
10,2,goal_directed_diffusion,0,1.326737,-0.394845,1.621998,0.996641,-0.275982,0.342829,1.327069,-0.158045,0.342829,translation,-0.047609,0.000000,0.000000,0.951802,-0.291986,0.342829,0,positional_no_progress
11,0,goal_directed_diffusion,9,0.000189,0.902978,1.963180,0.665207,0.416462,2.050824,0.434306,0.859953,2.050824,translation,0.500001,0.000000,0.000000,0.434305,0.859954,2.050824,0,endpoint_collision
12,0,goal_directed_diffusion,6,1.135622,0.021067,-2.941570,1.050865,0.025328,3.078301,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
13,0,goal_directed_diffusion,7,-0.007798,0.853019,3.098985,0.862639,0.037257,3.078301,0.363640,0.068881,3.078301,translation,0.346696,0.000000,0.000000,0.516637,0.059185,3.078301,1,accepted
13,1,goal_directed_diffusion,7,-0.007798,0.853019,3.098985,0.516637,0.059185,3.078301,0.516637,0.059185,2.154612,rotation,0.000000,0.000000,-0.939245,0.516637,0.059185,2.139055,1,accepted
13,2,goal_directed_diffusion,7,-0.007798,0.853019,3.098985,0.516637,0.059185,2.139055,0.247554,0.480605,2.139055,translation,0.442076,0.000000,0.000000,0.278727,0.431784,2.139055,0,endpoint_collision
14,0,goal_directed_diffusion,17,1.242349,-0.051956,-0.783109,0.996641,-0.275982,0.342829,1.309798,-0.164209,0.342829,translation,0.015412,0.000000,0.000000,1.011156,-0.270802,0.342829,1,accepted
14,1,goal_directed_diffusion,17,1.242349,-0.051956,-0.783109,1.011156,-0.270802,0.342829,1.310976,-0.163789,0.342829,translation,0.011564,0.000000,0.000000,1.022047,-0.266914,0.342829,1,accepted
14,2,goal_directed_diffusion,17,1.242349,-0.051956,-0.783109,1.022047,-0.266914,0.342829,1.311934,-0.163447,0.342829,translation,0.033469,0.000000,0.000000,1.053569,-0.255664,0.342829,1,accepted
14,3,goal_directed_diffusion,17,1.242349,-0.051956,-0.783109,1.053569,-0.255664,0.342829,1.315138,-0.162303,0.342829,translation,0.014734,0.000000,0.000000,1.067445,-0.250711,0.342829,1,accepted
14,4,goal_directed_diffusion,17,1.242349,-0.051956,-0.783109,1.067445,-0.250711,0.342829,1.316793,-0.161713,0.342829,translation,-0.003206,0.000000,0.000000,1.064425,-0.251788,0.342829,0,positional_no_progress
15,0,goal_directed_diffusion,4,-0.382641,-0.204775,-2.219764,0.481789,-0.278607,3.118702,-0.018080,-0.267162,3.118702,translation,0.060393,0.000000,0.000000,0.421412,-0.277224,3.118702,1,accepted
15,1,goal_directed_diffusion,4,-0.382641,-0.204775,-2.219764,0.421412,-0.277224,3.118702,-0.078457,-0.265780,3.118702,translation,0.082420,0.000000,0.000000,0.339013,-0.275338,3.118702,1,accepted
15,2,goal_directed_diffusion,4,-0.382641,-0.204775,-2.219764,0.339013,-0.275338,3.118702,-0.160856,-0.263893,3.118702,translation,0.077955,0.000000,0.000000,0.261078,-0.273553,3.118702,1,accepted
15,3,goal_directed_diffusion,4,-0.382641,-0.204775,-2.219764,0.261078,-0.273553,3.118702,-0.238791,-0.262109,3.118702,translation,0.047060,0.000000,0.000000,0.214030,-0.272476,3.118702,1,accepted
