comparison_idx,trial,seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s
1,1,101,3001,1,1.775503,0.010704,4001,0,nan,51.017008
1,2,211,3002,1,1.899588,0.008159,4002,1,1.734847,61.079102
1,3,307,3003,1,1.848741,0.010207,4003,1,2.455386,53.351782
1,4,401,3004,1,1.784419,0.008194,4004,1,1.874805,42.793866
1,5,503,3005,1,1.757293,0.010468,4005,1,1.661391,49.139669
1,6,601,3006,1,1.869688,0.010480,4006,1,1.904927,62.821411
1,7,701,3007,1,1.883847,0.010030,4007,1,1.942378,43.875001
1,8,809,3008,1,1.816550,0.029277,4008,1,1.899163,43.213068
1,9,907,3009,1,1.692397,0.008148,4009,1,1.691091,62.395190
1,10,1009,3010,1,2.000000,0.008372,4010,1,1.849295,63.225149
