[[1.023482, 0.007372, 1.023509], [0.752367, 1.232664, 1.444132]]
[[0.505357, 0.890048, 1.023509], [-0.691336, 1.267901, 1.444132]]
[[0.443003, 0.890048, 0.994202], [-0.753689, 1.267901, 1.474998]]
[[0.024798, 0.993892, 0.994202], [-1.219371, 0.829913, 1.474998]]
[[0.764601, 0.635470, 0.994202], [-0.177718, 1.464253, 1.474998]]
[[0.947874, -0.299954, 0.994202], [1.136017, 0.940791, 1.474998]]
[[0.529230, -0.299955, 0.608323], [0.717373, 0.940790, 1.183094]]
[[0.056769, -0.605669, 0.608323], [1.182031, -0.050123, 1.183094]]
[[-0.443231, -0.605669, 0.750525], [0.682031, -0.050123, 0.683870]]
[[-0.747045, -0.072197, 0.750525], [0.416444, -0.542450, 0.683870]]
[[-0.580303, 0.475959, 0.750525], [-0.087660, -0.678229, 0.683870]]
[[-0.086773, 0.745492, 0.750525], [-0.534214, -0.426959, 0.683870]]
[[0.046020, 0.749113, 0.750525], [-0.601120, -0.326087, 0.683870]]
[[0.156048, 0.734124, 0.750525], [-0.642655, -0.233823, 0.683870]]
[[0.504522, 0.555649, 0.750525], [-0.672966, 0.121636, 0.683870]]
[[0.748446, 0.055834, 0.750525], [-0.404476, 0.551433, 0.683870]]
[[0.512298, -0.548488, 0.750525], [0.176541, 0.660690, 0.683870]]
[[0.012297, -0.548489, 0.548627], [-0.323461, 0.660690, 0.735621]]
[[-0.469101, -0.548488, 0.721731], [-0.804858, 0.660691, 1.041302]]
