iter,rollout_step,extension_type,near_idx,sample_x,sample_y,sample_theta,current_x,current_y,current_theta,local_x,local_y,local_theta,target_mode,action_dx_robot,action_dy_robot,action_dtheta,candidate_x,candidate_y,candidate_theta,accepted,status
0,0,goal_directed_diffusion,0,-0.169018,0.319242,-0.292764,0.958697,-0.289525,1.286021,0.958697,-0.289525,2.333218,rotation,0.000000,0.000000,1.047198,0.958697,-0.289525,2.333219,1,accepted
0,1,goal_directed_diffusion,0,-0.169018,0.319242,-0.292764,0.958697,-0.289525,2.333219,0.613359,0.072057,2.333219,translation,0.499520,0.000000,0.000000,0.613691,0.071710,2.333219,1,accepted
0,2,goal_directed_diffusion,0,-0.169018,0.319242,-0.292764,0.613691,0.071710,2.333219,0.268353,0.433293,2.333219,translation,0.448773,0.000000,0.000000,0.303735,0.396247,2.333219,0,endpoint_collision
1,0,goal_directed_diffusion,1,0.759764,-0.377502,-2.156329,0.958697,-0.289525,2.333219,0.958697,-0.289525,-2.902769,rotation,0.000000,0.000000,0.815783,0.958697,-0.289525,-3.134183,1,accepted
1,1,goal_directed_diffusion,1,0.759764,-0.377502,-2.156329,0.958697,-0.289525,-3.134183,0.741184,-0.291137,-3.134183,translation,0.104388,0.000000,0.000000,0.854312,-0.290299,-3.134183,1,accepted
1,2,goal_directed_diffusion,1,0.759764,-0.377502,-2.156329,0.854312,-0.290299,-3.134183,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
2,0,goal_directed_diffusion,0,1.462550,1.098994,-0.254942,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,translation,0.382147,0.000000,0.000000,1.066058,0.077231,1.286021,1,accepted
2,1,goal_directed_diffusion,0,1.462550,1.098994,-0.254942,1.066058,0.077231,1.286021,1.206529,0.557093,1.286021,translation,0.314756,0.000000,0.000000,1.154487,0.379310,1.286021,0,endpoint_collision
3,0,goal_directed_diffusion,2,1.231893,1.235077,2.062640,0.613691,0.071710,2.333219,0.613691,0.071710,1.286021,rotation,0.000000,0.000000,-0.996695,0.613691,0.071710,1.336523,1,accepted
3,1,goal_directed_diffusion,2,1.231893,1.235077,2.062640,0.613691,0.071710,1.336523,0.729759,0.558052,1.336523,translation,0.496266,0.000000,0.000000,0.728892,0.554420,1.336523,1,accepted
3,2,goal_directed_diffusion,2,1.231893,1.235077,2.062640,0.728892,0.554420,1.336523,0.844960,1.040762,1.336523,translation,0.498465,0.000000,0.000000,0.844604,1.039268,1.336523,0,endpoint_collision
4,0,goal_directed_diffusion,7,0.057476,1.577954,-0.458586,0.728892,0.554420,1.336523,0.728892,0.554420,2.151363,rotation,0.000000,0.000000,0.918670,0.728892,0.554420,2.255193,1,accepted
4,1,goal_directed_diffusion,7,0.057476,1.577954,-0.458586,0.728892,0.554420,2.255193,0.412789,0.941820,2.255193,translation,0.482285,0.000000,0.000000,0.423988,0.928095,2.255193,0,endpoint_collision
5,0,goal_directed_diffusion,4,0.839779,0.971954,-1.753456,0.854312,-0.290299,-3.134183,0.854312,-0.290299,2.101805,rotation,0.000000,0.000000,-1.032367,0.854312,-0.290299,2.116635,1,accepted
5,1,goal_directed_diffusion,4,0.839779,0.971954,-1.753456,0.854312,-0.290299,2.116635,0.594744,0.137047,2.116635,translation,0.499656,0.000000,0.000000,0.594923,0.136753,2.116635,1,accepted
5,2,goal_directed_diffusion,4,0.839779,0.971954,-1.753456,0.594923,0.136753,2.116635,0.594923,0.136753,1.285616,rotation,0.000000,0.000000,-0.906367,0.594923,0.136753,1.210268,1,accepted
5,3,goal_directed_diffusion,4,0.839779,0.971954,-1.753456,0.594923,0.136753,1.210268,0.771307,0.604609,1.210268,translation,0.500001,0.000000,0.000000,0.771307,0.604609,1.210268,0,endpoint_collision
6,0,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.613691,0.071710,1.336523,0.613691,0.071710,2.383721,rotation,0.000000,0.000000,0.988386,0.613691,0.071710,2.324909,1,accepted
6,1,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.613691,0.071710,2.324909,0.613691,0.071710,-2.926746,rotation,0.000000,0.000000,0.790824,0.613691,0.071710,3.115733,1,accepted
6,2,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.613691,0.071710,3.115733,0.113858,0.084639,3.115733,translation,0.060564,0.000000,0.000000,0.553147,0.073276,3.115733,1,accepted
6,3,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.553147,0.073276,3.115733,0.054356,0.086178,3.115733,translation,0.097500,0.000000,0.000000,0.455680,0.075797,3.115733,1,accepted
6,4,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.455680,0.075797,3.115733,0.050002,0.086290,3.115733,translation,0.014997,0.000000,0.000000,0.440687,0.076185,3.115733,1,accepted
6,5,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.440687,0.076185,3.115733,0.049145,0.086312,3.115733,translation,0.046082,0.000000,0.000000,0.394621,0.077377,3.115733,1,accepted
6,6,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.394621,0.077377,3.115733,0.046060,0.086392,3.115733,translation,0.078127,0.000000,0.000000,0.316520,0.079397,3.115733,1,accepted
6,7,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.316520,0.079397,3.115733,0.038564,0.086586,3.115733,translation,0.081438,0.000000,0.000000,0.235109,0.081502,3.115733,1,accepted
6,8,goal_directed_diffusion,6,0.068943,-0.047162,1.594396,0.235109,0.081502,3.115733,0.025023,0.086936,3.115733,translation,-0.003760,0.000000,0.000000,0.238868,0.081405,3.115733,0,positional_no_progress
7,0,goal_directed_diffusion,10,0.238483,0.669880,1.941396,0.594923,0.136753,2.116635,0.335355,0.564099,2.116635,translation,0.498970,0.000000,0.000000,0.335890,0.563219,2.116635,0,endpoint_collision
8,0,goal_directed_diffusion,5,1.091298,0.155970,0.935735,1.066058,0.077231,1.286021,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
9,0,goal_directed_diffusion,7,0.122774,1.514341,0.323537,0.728892,0.554420,1.336523,0.728892,0.554420,2.134002,rotation,0.000000,0.000000,0.944772,0.728892,0.554420,2.281295,1,accepted
9,1,goal_directed_diffusion,7,0.122774,1.514341,0.323537,0.728892,0.554420,2.281295,0.402786,0.933438,2.281295,translation,0.492641,0.000000,0.000000,0.407586,0.927860,2.281295,0,endpoint_collision
10,0,goal_directed_diffusion,11,0.390668,-0.472707,-0.416343,0.594923,0.136753,1.210268,0.594923,0.136753,0.163070,rotation,0.000000,0.000000,-1.047198,0.594923,0.136753,0.163070,1,accepted
10,1,goal_directed_diffusion,11,0.390668,-0.472707,-0.416343,0.594923,0.136753,0.163070,0.594923,0.136753,-0.884128,rotation,0.000000,0.000000,-0.798542,0.594923,0.136753,-0.635472,1,accepted
10,2,goal_directed_diffusion,11,0.390668,-0.472707,-0.416343,0.594923,0.136753,-0.635472,0.594923,0.136753,-1.682669,rotation,0.000000,0.000000,0.654222,0.594923,0.136753,0.018750,0,angular_no_progress
11,0,goal_directed_diffusion,21,0.909896,0.155041,-1.770601,0.594923,0.136753,-0.635472,0.848838,-0.050516,-0.635472,translation,-0.251582,0.000000,0.000000,0.392452,0.286081,-0.635472,0,positional_no_progress
12,0,goal_directed_diffusion,18,-0.313604,1.113035,-3.077328,0.235109,0.081502,3.115733,0.235109,0.081502,2.068535,rotation,0.000000,0.000000,-1.047198,0.235109,0.081502,2.068535,1,accepted
12,1,goal_directed_diffusion,18,-0.313604,1.113035,-3.077328,0.235109,0.081502,2.068535,-0.003611,0.520835,2.068535,translation,0.333416,0.000000,0.000000,0.075923,0.374463,2.068535,0,endpoint_collision
13,0,goal_directed_diffusion,20,-0.032009,0.077892,0.504798,0.594923,0.136753,0.163070,0.594923,0.136753,1.210268,rotation,0.000000,0.000000,0.801515,0.594923,0.136753,0.964585,1,accepted
