iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
0,random_sample,0,0.774764,0.341816,0.120192,0.610979,-0.228338,1.722037,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,1,accepted
1,random_sample,1,0.635432,1.118089,-1.763158,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0.460314,0.760247,1.722037,1,accepted
2,random_sample,2,0.165561,1.903460,0.785861,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0.384982,1.254540,1.722037,1,accepted
3,random_sample,0,0.264291,-0.031238,2.757516,0.610979,-0.228338,1.722037,0.610979,-0.228338,2.624640,0.264291,-0.031238,2.624640,1,accepted
4,random_sample,3,-0.075841,1.315768,0.597223,0.384982,1.254540,1.722037,0.384982,1.254540,2.769235,-0.048034,1.423667,2.769235,0,translation_collision
5,random_sample,3,0.797418,1.335218,1.495659,0.384982,1.254540,1.722037,0.384982,1.254540,0.674839,0.713118,1.517102,0.674839,1,accepted
6,random_sample,6,0.630995,1.196112,-1.914130,0.384982,1.254540,0.674839,0.384982,1.254540,-0.233179,0.630995,1.196112,-0.233179,1,accepted
7,random_sample,3,-0.258466,1.783421,-2.877308,0.384982,1.254540,1.722037,0.384982,1.254540,1.722037,0.309649,1.748832,1.722037,1,accepted
8,random_sample,2,0.000189,0.902978,1.963180,0.460314,0.760247,1.722037,0.460314,0.760247,2.769235,0.011574,0.935516,2.769235,0,translation_collision
9,lateral_motion,8,nan,nan,nan,0.384982,1.254540,-0.233179,0.384982,1.254540,-0.233179,0.325375,1.003562,-0.233179,0,lateral_segment_collision
10,random_sample,9,1.486437,1.677937,-2.015535,0.630995,1.196112,-0.233179,0.630995,1.196112,-0.233179,1.117464,1.080576,-0.233179,1,accepted
11,random_sample,5,-0.382641,-0.204775,-2.219764,0.264291,-0.031238,2.624640,0.264291,-0.031238,2.624640,-0.170373,0.215879,2.624640,0,translation_collision
12,random_sample,5,1.188794,1.354412,3.026778,0.264291,-0.031238,2.624640,0.264291,-0.031238,1.577442,0.260968,0.468751,1.577442,0,translation_collision
13,random_sample,3,0.451704,1.299420,2.451767,0.384982,1.254540,1.722037,0.384982,1.254540,0.674839,0.384982,1.254540,0.674839,0,duplicate_candidate
14,random_sample,9,0.296426,-0.286081,-0.092908,0.630995,1.196112,-0.233179,0.630995,1.196112,-1.280376,0.774173,0.717050,-1.280376,0,translation_collision
15,random_sample,11,1.497872,0.818188,-1.400340,1.117464,1.080576,-0.233179,1.117464,1.080576,-0.233179,1.567081,0.973793,-0.233179,0,translation_collision
16,random_sample,5,-0.323067,-0.276053,-2.721613,0.264291,-0.031238,2.624640,0.264291,-0.031238,-2.746682,-0.197224,-0.223601,-2.746682,1,accepted
17,random_sample,5,-0.257173,0.282357,2.124352,0.264291,-0.031238,2.624640,0.264291,-0.031238,2.624640,-0.170373,0.215879,2.624640,0,translation_collision
18,random_sample,8,-0.131765,-0.456703,-0.062854,0.384982,1.254540,-0.233179,0.384982,1.254540,-1.280376,0.528159,0.775478,-1.280376,1,accepted
19,lateral_motion,8,nan,nan,nan,0.384982,1.254540,-0.233179,0.384982,1.254540,-0.233179,0.479531,1.652644,-0.233179,1,accepted
20,lateral_motion,15,nan,nan,nan,0.528159,0.775478,-1.280376,0.528159,0.775478,-1.280376,0.886326,0.882523,-1.280376,0,lateral_segment_collision
21,random_sample,5,-0.069899,0.407807,2.486107,0.264291,-0.031238,2.624640,0.264291,-0.031238,2.624640,-0.170373,0.215879,2.624640,0,translation_collision
22,random_sample,12,0.397381,0.452223,-2.310682,0.264291,-0.031238,-2.746682,0.264291,-0.031238,2.489306,-0.133058,0.272265,2.489306,0,translation_collision
23,random_sample,1,1.316329,0.523432,1.235636,0.535646,0.265955,1.722037,0.535646,0.265955,0.674839,0.926050,0.578341,0.674839,0,rotation_collision
24,random_sample,14,0.497903,1.408748,-1.297321,0.384982,1.254540,-1.280376,0.384982,1.254540,-0.233179,0.384982,1.254540,-0.233179,0,duplicate_candidate
25,random_sample,0,-0.347115,-0.170935,1.476530,0.610979,-0.228338,1.722037,0.610979,-0.228338,2.769235,0.145243,-0.046431,2.769235,1,accepted
26,random_sample,8,-0.202111,0.062484,0.021092,0.384982,1.254540,-0.233179,0.384982,1.254540,-1.280376,0.528159,0.775478,-1.280376,0,duplicate_candidate
27,random_sample,15,1.223408,-0.457718,-1.481832,0.528159,0.775478,-1.280376,0.528159,0.775478,-1.280376,0.671337,0.296416,-1.280376,0,translation_collision
28,random_sample,14,0.524391,1.342678,-2.547799,0.384982,1.254540,-1.280376,0.384982,1.254540,-0.233179,0.384982,1.254540,-0.233179,0,duplicate_candidate
29,random_sample,14,-0.299612,1.975453,-1.002108,0.384982,1.254540,-1.280376,0.384982,1.254540,-2.327574,0.041691,0.891014,-2.327574,0,translation_collision
30,random_sample,18,0.242142,0.681883,3.119671,0.145243,-0.046431,2.769235,0.145243,-0.046431,1.722037,0.069910,0.447861,1.722037,0,translation_collision
31,lateral_motion,9,nan,nan,nan,0.630995,1.196112,-0.233179,0.630995,1.196112,-0.233179,0.728806,1.607948,-0.233179,1,accepted
32,random_sample,12,0.413336,0.923480,-3.132531,0.264291,-0.031238,-2.746682,0.264291,-0.031238,2.489306,-0.133058,0.272265,2.489306,0,translation_collision
33,random_sample,3,0.902036,1.341098,1.845184,0.384982,1.254540,1.722037,0.384982,1.254540,0.674839,0.775385,1.566926,0.674839,1,accepted
34,random_sample,12,1.422866,0.242568,-2.297660,0.264291,-0.031238,-2.746682,0.264291,-0.031238,-1.699484,0.200125,-0.527104,-1.699484,0,translation_collision
35,random_sample,12,0.127880,0.496188,-2.743772,0.264291,-0.031238,-2.746682,0.264291,-0.031238,2.489306,-0.133058,0.272265,2.489306,0,translation_collision
