iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
0,random_sample,0,1.082997,0.474037,1.556608,0.610979,-0.228338,1.722037,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,1,accepted
1,random_sample,1,0.030705,1.507854,0.251288,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0.460314,0.760247,1.722037,1,accepted
2,random_sample,1,0.418070,0.420835,-2.097399,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0,zero_motion
3,lateral_motion,2,nan,nan,nan,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,-0.004537,0.689402,1.722037,0,lateral_segment_collision
4,random_sample,1,0.662705,0.193625,0.828346,0.535646,0.265955,1.722037,0.535646,0.265955,0.674839,0.535646,0.265955,0.674839,0,rotation_collision
5,random_sample,2,1.221379,1.264900,-0.845068,0.460314,0.760247,1.722037,0.460314,0.760247,0.674839,0.850718,1.072633,0.674839,1,accepted
6,random_sample,1,-0.335690,0.289270,2.985638,0.535646,0.265955,1.722037,0.535646,0.265955,2.769235,0.069910,0.447861,2.769235,0,rotation_collision
7,random_sample,3,0.997101,-0.337433,-1.054591,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
8,random_sample,0,0.409284,-0.300254,1.631771,0.610979,-0.228338,1.722037,0.610979,-0.228338,2.769235,0.610979,-0.228338,2.769235,0,duplicate_candidate
9,random_sample,5,1.266080,0.249245,2.979134,0.610979,-0.228338,2.769235,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,0,duplicate_candidate
10,lateral_motion,2,nan,nan,nan,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0.178485,0.717295,1.722037,0,lateral_segment_collision
11,lateral_motion,5,nan,nan,nan,0.610979,-0.228338,2.769235,0.610979,-0.228338,2.769235,0.468594,-0.592887,2.769235,0,lateral_segment_collision
12,random_sample,2,1.185851,1.637128,1.633887,0.460314,0.760247,1.722037,0.460314,0.760247,0.879566,0.779057,1.145478,0.879566,1,accepted
13,random_sample,5,0.621623,-0.186139,-2.192025,0.610979,-0.228338,2.769235,0.610979,-0.228338,1.722037,0.610979,-0.228338,1.722037,0,duplicate_candidate
14,lateral_motion,6,nan,nan,nan,0.460314,0.760247,0.879566,0.460314,0.760247,0.879566,0.677259,0.580746,0.879566,0,lateral_segment_collision
15,random_sample,1,-0.117331,0.265285,1.444202,0.535646,0.265955,1.722037,0.535646,0.265955,2.769235,0.069910,0.447861,2.769235,0,rotation_collision
16,random_sample,3,0.272025,0.723891,-0.842133,0.460314,0.760247,0.674839,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0,duplicate_candidate
17,random_sample,3,1.078509,0.350286,0.698231,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
18,random_sample,5,0.460894,-0.213232,2.990016,0.610979,-0.228338,2.769235,0.610979,-0.228338,2.769235,0.610979,-0.228338,2.769235,0,zero_motion
19,random_sample,5,0.860366,-0.002770,-2.486814,0.610979,-0.228338,2.769235,0.610979,-0.228338,1.722037,0.560316,0.104089,1.722037,1,accepted
20,lateral_motion,8,nan,nan,nan,0.560316,0.104089,1.722037,0.560316,0.104089,1.722037,0.099573,0.033870,1.722037,1,accepted
21,random_sample,4,1.479594,0.444629,-1.523539,0.850718,1.072633,0.674839,0.850718,1.072633,-0.372358,1.316454,0.890727,-0.372358,0,translation_collision
22,random_sample,3,0.508318,0.078697,0.759335,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
23,random_sample,3,0.575186,0.376759,-0.996076,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.833204,0.614605,-0.372358,0,translation_collision
24,random_sample,4,1.180520,1.268600,-1.931088,0.850718,1.072633,0.674839,0.850718,1.072633,0.674839,1.150259,1.312315,0.674839,1,accepted
25,random_sample,5,-0.404891,1.509462,-2.596204,0.610979,-0.228338,2.769235,0.610979,-0.228338,2.769235,0.145243,-0.046431,2.769235,1,accepted
26,random_sample,5,1.336984,-0.343307,-2.955270,0.610979,-0.228338,2.769235,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,0,duplicate_candidate
27,random_sample,11,0.023138,-0.165337,-2.376407,0.145243,-0.046431,2.769235,0.145243,-0.046431,-2.466753,0.145243,-0.046431,-2.466753,0,duplicate_candidate
28,random_sample,5,1.496236,0.371266,2.700935,0.610979,-0.228338,2.769235,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,0,duplicate_candidate
29,random_sample,3,0.952716,-0.031529,-0.509167,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
30,random_sample,5,0.337734,-0.400462,2.676703,0.610979,-0.228338,2.769235,0.610979,-0.228338,-2.579459,0.337734,-0.400462,-2.579459,0,translation_collision
31,random_sample,11,0.281038,0.168700,2.388021,0.145243,-0.046431,2.769235,0.145243,-0.046431,1.722037,0.106913,0.205070,1.722037,1,accepted
32,random_sample,5,1.449840,-0.318192,2.263793,0.610979,-0.228338,2.769235,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,0,duplicate_candidate
33,random_sample,10,1.253016,1.867738,0.317147,1.150259,1.312315,0.674839,1.150259,1.312315,0.674839,1.540663,1.624701,0.674839,0,translation_collision
34,random_sample,3,-0.480455,0.950324,-0.668062,0.460314,0.760247,0.674839,0.460314,0.760247,1.722037,0.384982,1.254540,1.722037,1,accepted
35,lateral_motion,6,nan,nan,nan,0.460314,0.760247,0.879566,0.460314,0.760247,0.879566,0.752215,0.518727,0.879566,0,lateral_segment_collision
