iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
0,random_sample,0,0.981314,0.433107,-0.841341,0.610979,-0.228338,1.722037,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,1,accepted
1,random_sample,1,0.887703,1.877687,-1.354752,0.535646,0.265955,1.722037,0.535646,0.265955,1.722037,0.460314,0.760247,1.722037,1,accepted
2,random_sample,0,0.225072,-0.097149,1.732317,0.610979,-0.228338,1.722037,0.610979,-0.228338,2.769235,0.231315,-0.080049,2.769235,1,accepted
3,random_sample,2,0.669850,1.820243,1.333039,0.460314,0.760247,1.722037,0.460314,0.760247,1.722037,0.384982,1.254540,1.722037,1,accepted
4,random_sample,0,0.091001,-0.204940,1.512791,0.610979,-0.228338,1.722037,0.610979,-0.228338,2.769235,0.145243,-0.046431,2.769235,1,accepted
5,random_sample,5,0.209952,1.679940,0.024667,0.384982,1.254540,1.722037,0.384982,1.254540,1.722037,0.315676,1.709290,1.722037,1,accepted
6,random_sample,6,-0.402755,0.802724,-2.931823,0.145243,-0.046431,2.769235,0.145243,-0.046431,2.769235,-0.320493,0.135475,2.769235,0,translation_collision
7,random_sample,1,-0.386358,0.174505,-0.207182,0.535646,0.265955,1.722037,0.535646,0.265955,2.769235,0.069910,0.447861,2.769235,0,rotation_collision
8,random_sample,7,0.786089,1.582806,0.801438,0.315676,1.709290,1.722037,0.315676,1.709290,0.674839,0.696024,2.013629,0.674839,0,translation_collision
9,random_sample,7,1.068394,1.779843,2.601909,0.315676,1.709290,1.722037,0.315676,1.709290,0.674839,0.706079,2.021676,0.674839,0,translation_collision
10,random_sample,6,-0.353845,1.224534,-1.216665,0.145243,-0.046431,2.769235,0.145243,-0.046431,1.944980,-0.037514,0.418972,1.944980,0,translation_collision
11,random_sample,0,0.735821,-0.453696,1.720842,0.610979,-0.228338,1.722037,0.610979,-0.228338,0.674839,0.812137,-0.067379,0.674839,1,accepted
12,random_sample,8,-0.226909,0.786622,-0.821686,0.610979,-0.228338,0.674839,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,0,duplicate_candidate
13,random_sample,7,0.273249,1.682876,0.042270,0.315676,1.709290,1.722037,0.315676,1.709290,2.769235,0.315676,1.709290,2.769235,0,duplicate_candidate
14,random_sample,9,0.288480,0.850283,0.200788,0.812137,-0.067379,0.674839,0.812137,-0.067379,1.722037,0.736804,0.426914,1.722037,0,translation_collision
15,random_sample,10,1.119830,1.997456,-1.579975,0.315676,1.709290,2.769235,0.315676,1.709290,1.722037,0.240343,2.203582,1.722037,0,translation_collision
16,random_sample,7,1.164209,1.690230,1.821219,0.315676,1.709290,1.722037,0.315676,1.709290,0.674839,0.706079,2.021676,0.674839,0,translation_collision
