1.785548, 0.747014, 1.935513
1.656660, -1.000844, 1.935513
1.156660, -1.000844, 1.529559
-0.185530, -1.518265, 1.529559
-0.256215, -1.518264, 1.539731
-1.254700, -0.892469, 1.539731
-1.538049, -0.071951, 1.539731
-1.520079, 0.245221, 1.539731
-1.010171, 1.162036, 1.539731
-0.663929, 1.389234, 1.539731
0.421503, 1.480915, 1.539731
1.457807, 0.495552, 1.539731
0.964745, 0.495553, 1.084576
0.053228, 1.083269, 1.084576
0.892543, 0.616175, 1.084576
0.392542, 0.616175, 0.730589
0.725910, 0.082553, 0.730589
0.225910, 0.082553, 0.240521
0.184775, -0.153977, 0.240521
