comparison_idx,trial,seed,rrt_run_idx,rrt_success,rrt_path_length_m,rrt_wall_runtime_s,diffusion_run_idx,diffusion_success,diffusion_path_length_m,diffusion_wall_runtime_s,lateral_diffusion_run_idx,lateral_diffusion_success,lateral_diffusion_path_length_m,lateral_diffusion_wall_runtime_s
7,1,101,3061,1,2.279875,0.008279,4061,1,2.366881,45.009804,5061,1,2.056868,39.414505
7,2,211,3062,1,2.499999,0.009164,4062,1,2.662599,57.746496,5062,1,2.349175,33.624353
7,3,307,3063,1,2.281596,0.008123,4063,1,2.349914,37.294192,5063,1,2.665221,33.887029
7,4,401,3064,1,2.315747,0.007213,4064,0,nan,38.240436,5064,0,nan,33.318228
7,5,503,3065,1,2.759618,0.009096,4065,1,2.077899,39.120738,5065,1,1.997563,31.554281
7,6,601,3066,1,2.354703,0.007940,4066,1,2.242768,36.008707,5066,1,2.449528,40.615198
7,7,701,3067,1,2.059731,0.008035,4067,1,2.303668,40.980604,5067,0,nan,36.170046
7,8,809,3068,1,2.253418,0.007684,4068,0,nan,40.979808,5068,0,nan,34.111320
7,9,907,3069,1,2.332991,0.008681,4069,0,nan,34.351189,5069,0,nan,34.904644
7,10,1009,3070,1,2.258338,0.007464,4070,0,nan,37.056588,5070,0,nan,34.358340
