iter,rollout_step,extension_type,near_idx,sample_x,sample_y,sample_theta,current_x,current_y,current_theta,local_x,local_y,local_theta,target_mode,action_dx_robot,action_dy_robot,action_dtheta,candidate_x,candidate_y,candidate_theta,accepted,status
0,0,goal_directed_diffusion,0,0.855160,1.249292,-2.857607,0.610979,-0.228338,1.722037,0.535646,0.265955,1.722037,translation,0.496279,0.000000,0.000000,0.536207,0.262276,1.722037,1,accepted
0,1,goal_directed_diffusion,0,0.855160,1.249292,-2.857607,0.536207,0.262276,1.722037,0.460875,0.756569,1.722037,translation,0.480197,0.000000,0.000000,0.463858,0.736992,1.722037,1,accepted
0,2,goal_directed_diffusion,0,0.855160,1.249292,-2.857607,0.463858,0.736992,1.722037,0.463858,0.736992,0.918514,rotation,0.000000,0.000000,-0.789910,0.463858,0.736992,0.932127,1,accepted
0,3,goal_directed_diffusion,0,0.855160,1.249292,-2.857607,0.463858,0.736992,0.932127,0.761922,1.138437,0.932127,translation,0.481291,0.000000,0.000000,0.750769,1.123415,0.932127,1,accepted
0,4,goal_directed_diffusion,0,0.855160,1.249292,-2.857607,0.750769,1.123415,0.932127,nan,nan,nan,,nan,nan,nan,nan,nan,nan,0,sample_reached
1,0,goal_directed_diffusion,3,0.117021,0.280129,-1.403181,0.463858,0.736992,0.932127,0.463858,0.736992,1.979324,rotation,0.000000,0.000000,0.862811,0.463858,0.736992,1.794938,1,accepted
1,1,goal_directed_diffusion,3,0.117021,0.280129,-1.403181,0.463858,0.736992,1.794938,0.463858,0.736992,2.842135,rotation,0.000000,0.000000,0.995118,0.463858,0.736992,2.790055,1,accepted
1,2,goal_directed_diffusion,3,0.117021,0.280129,-1.403181,0.463858,0.736992,2.790055,0.463858,0.736992,-2.445932,rotation,0.000000,0.000000,0.885746,0.463858,0.736992,-2.607384,1,accepted
1,3,goal_directed_diffusion,3,0.117021,0.280129,-1.403181,0.463858,0.736992,-2.607384,0.033522,0.482412,-2.607384,translation,-0.004532,0.000000,0.000000,0.467759,0.739299,-2.607384,0,positional_no_progress
2,0,goal_directed_diffusion,1,1.372671,0.169855,2.031372,0.536207,0.262276,1.722037,0.536207,0.262276,0.674839,rotation,0.000000,0.000000,-1.014163,0.536207,0.262276,0.707874,0,endpoint_collision
3,0,goal_directed_diffusion,5,-0.459785,1.803416,1.977377,0.463858,0.736992,1.794938,0.352724,1.224484,1.794938,translation,0.495634,0.000000,0.000000,0.353694,1.220227,1.794938,1,accepted
3,1,goal_directed_diffusion,5,-0.459785,1.803416,1.977377,0.353694,1.220227,1.794938,0.242560,1.707720,1.794938,translation,0.474231,0.000000,0.000000,0.248287,1.682595,1.794938,1,accepted
3,2,goal_directed_diffusion,5,-0.459785,1.803416,1.977377,0.248287,1.682595,1.794938,0.248287,1.682595,2.842135,rotation,0.000000,0.000000,0.760796,0.248287,1.682595,2.555733,1,accepted
3,3,goal_directed_diffusion,5,-0.459785,1.803416,1.977377,0.248287,1.682595,2.555733,-0.168331,1.959053,2.555733,translation,0.433181,0.000000,0.000000,-0.112655,1.922108,2.555733,0,endpoint_collision
4,0,goal_directed_diffusion,7,1.489483,1.220729,-2.459884,0.463858,0.736992,-2.607384,0.463858,0.736992,-1.560187,rotation,0.000000,0.000000,0.609930,0.463858,0.736992,-1.997455,1,accepted
4,1,goal_directed_diffusion,7,1.489483,1.220729,-2.459884,0.463858,0.736992,-1.997455,0.463858,0.736992,-0.950257,rotation,0.000000,0.000000,0.366495,0.463858,0.736992,-1.630960,1,accepted
4,2,goal_directed_diffusion,7,1.489483,1.220729,-2.459884,0.463858,0.736992,-1.630960,0.463858,0.736992,-0.583762,rotation,0.000000,0.000000,0.605356,0.463858,0.736992,-1.025604,1,accepted
4,3,goal_directed_diffusion,7,1.489483,1.220729,-2.459884,0.463858,0.736992,-1.025604,0.463858,0.736992,0.021593,rotation,0.000000,0.000000,0.480603,0.463858,0.736992,-0.545001,1,accepted
4,4,goal_directed_diffusion,7,1.489483,1.220729,-2.459884,0.463858,0.736992,-0.545001,0.463858,0.736992,0.440713,rotation,0.000000,0.000000,0.314523,0.463858,0.736992,-0.230478,1,accepted
4,5,goal_directed_diffusion,7,1.489483,1.220729,-2.459884,0.463858,0.736992,-0.230478,0.950637,0.622770,-0.230478,translation,-0.081544,0.000000,0.000000,0.384471,0.755620,-0.230478,0,positional_no_progress
5,0,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,-1.997455,0.463858,0.736992,-0.950257,rotation,0.000000,0.000000,0.497114,0.463858,0.736992,-1.500340,1,accepted
5,1,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,-1.500340,0.463858,0.736992,-0.453143,rotation,0.000000,0.000000,0.114822,0.463858,0.736992,-1.385518,1,accepted
5,2,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,-1.385518,0.463858,0.736992,-0.338321,rotation,0.000000,0.000000,0.039003,0.463858,0.736992,-1.346515,1,accepted
5,3,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,-1.346515,0.463858,0.736992,-0.299318,rotation,0.000000,0.000000,0.236331,0.463858,0.736992,-1.110184,1,accepted
5,4,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,-1.110184,0.463858,0.736992,-0.062987,rotation,0.000000,0.000000,0.194662,0.463858,0.736992,-0.915522,1,accepted
5,5,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,-0.915522,0.463858,0.736992,0.131675,rotation,0.000000,0.000000,0.216668,0.463858,0.736992,-0.698854,1,accepted
5,6,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,-0.698854,0.463858,0.736992,0.348343,rotation,0.000000,0.000000,0.407245,0.463858,0.736992,-0.291609,1,accepted
5,7,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,-0.291609,0.463858,0.736992,0.755588,rotation,0.000000,0.000000,0.744590,0.463858,0.736992,0.452981,1,accepted
5,8,goal_directed_diffusion,11,1.257889,1.487394,-2.265878,0.463858,0.736992,0.452981,0.913432,0.955816,0.452981,translation,0.180997,0.000000,0.000000,0.626601,0.816205,0.452981,0,endpoint_collision
6,0,goal_directed_diffusion,12,0.433650,1.478365,-1.588629,0.463858,0.736992,-1.630960,0.463858,0.736992,-2.678157,rotation,0.000000,0.000000,0.345783,0.463858,0.736992,-1.285177,0,angular_no_progress
7,0,goal_directed_diffusion,14,-0.154283,1.803045,-0.564839,0.463858,0.736992,-0.545001,0.463858,0.736992,0.502196,rotation,0.000000,0.000000,-0.070478,0.463858,0.736992,-0.615479,0,angular_no_progress
8,0,goal_directed_diffusion,7,0.752423,1.591098,-2.518876,0.463858,0.736992,-2.607384,0.463858,0.736992,2.628603,rotation,0.000000,0.000000,1.018926,0.463858,0.736992,-1.588459,0,angular_no_progress
9,0,goal_directed_diffusion,23,-0.158433,1.396638,0.586473,0.463858,0.736992,0.452981,0.463858,0.736992,1.500179,rotation,0.000000,0.000000,0.863703,0.463858,0.736992,1.316684,1,accepted
9,1,goal_directed_diffusion,23,-0.158433,1.396638,0.586473,0.463858,0.736992,1.316684,0.463858,0.736992,2.327064,rotation,0.000000,0.000000,0.932583,0.463858,0.736992,2.249267,1,accepted
9,2,goal_directed_diffusion,23,-0.158433,1.396638,0.586473,0.463858,0.736992,2.249267,0.150057,1.126258,2.249267,translation,0.463123,0.000000,0.000000,0.173201,1.097549,2.249267,0,endpoint_collision
10,0,goal_directed_diffusion,18,-0.244153,0.590587,-1.300262,0.463858,0.736992,-1.346515,0.463858,0.736992,-2.393713,rotation,0.000000,0.000000,0.155504,0.463858,0.736992,-1.191011,0,angular_no_progress
11,0,goal_directed_diffusion,23,-0.153758,1.361863,0.660417,0.463858,0.736992,0.452981,0.463858,0.736992,1.500179,rotation,0.000000,0.000000,0.918529,0.463858,0.736992,1.371510,1,accepted
11,1,goal_directed_diffusion,23,-0.153758,1.361863,0.660417,0.463858,0.736992,1.371510,0.463858,0.736992,2.350355,rotation,0.000000,0.000000,0.948108,0.463858,0.736992,2.319618,1,accepted
11,2,goal_directed_diffusion,23,-0.153758,1.361863,0.660417,0.463858,0.736992,2.319618,0.123470,1.103238,2.319618,translation,0.418270,0.000000,0.000000,0.179110,1.043371,2.319618,0,endpoint_collision
12,0,goal_directed_diffusion,27,0.399596,1.202702,2.343947,0.463858,0.736992,2.319618,0.143810,1.081353,2.319618,translation,0.489991,0.000000,0.000000,0.130285,1.095906,2.319618,0,endpoint_collision
