iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
0,random_sample,0,1.082997,0.474037,1.556608,0.958697,-0.289525,1.286021,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,0,translation_collision
1,random_sample,0,0.030705,1.507854,0.251288,0.958697,-0.289525,1.286021,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,0,translation_collision
2,random_sample,0,0.418070,0.420835,-2.097399,0.958697,-0.289525,1.286021,0.958697,-0.289525,2.221339,0.655888,0.108352,2.221339,1,accepted
3,lateral_motion,2,nan,nan,nan,0.655888,0.108352,2.221339,0.655888,0.108352,2.221339,0.281709,-0.176420,2.221339,1,accepted
4,random_sample,0,0.662705,0.193625,0.828346,0.958697,-0.289525,1.286021,0.958697,-0.289525,2.120451,0.697501,0.136827,2.120451,1,accepted
5,random_sample,0,1.221379,1.264900,-0.845068,0.958697,-0.289525,1.286021,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,0,translation_collision
6,random_sample,3,-0.335690,0.289270,2.985638,0.281709,-0.176420,2.221339,0.281709,-0.176420,2.221339,-0.021100,0.221457,2.221339,0,translation_collision
7,random_sample,0,0.997101,-0.337433,-1.054591,0.958697,-0.289525,1.286021,0.958697,-0.289525,0.238823,0.958697,-0.289525,0.238823,0,duplicate_candidate
8,random_sample,3,0.409284,-0.300254,1.631771,0.281709,-0.176420,2.221339,0.281709,-0.176420,1.174141,0.281709,-0.176420,1.174141,0,duplicate_candidate
9,random_sample,1,1.266080,0.249245,2.979134,0.958697,-0.289525,2.221339,0.958697,-0.289525,1.174141,1.151865,0.171654,1.174141,0,translation_collision
10,lateral_motion,2,nan,nan,nan,0.655888,0.108352,2.221339,0.655888,0.108352,2.221339,0.429032,-0.064299,2.221339,1,accepted
11,lateral_motion,2,nan,nan,nan,0.655888,0.108352,2.221339,0.655888,0.108352,2.221339,0.344454,-0.128668,2.221339,1,accepted
12,random_sample,5,1.185851,1.637128,1.633887,0.697501,0.136827,2.120451,0.697501,0.136827,1.256111,0.852259,0.612274,1.256111,0,translation_collision
13,random_sample,8,0.621623,-0.186139,-2.192025,0.429032,-0.064299,2.221339,0.429032,-0.064299,1.174141,0.429032,-0.064299,1.174141,0,duplicate_candidate
14,lateral_motion,2,nan,nan,nan,0.655888,0.108352,2.221339,0.655888,0.108352,2.221339,0.879954,0.278880,2.221339,1,accepted
15,random_sample,7,-0.117331,0.265285,1.444202,0.281709,-0.176420,1.174141,0.281709,-0.176420,2.221339,-0.021100,0.221457,2.221339,0,translation_collision
16,random_sample,6,0.272025,0.723891,-0.842133,0.958697,-0.289525,0.238823,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,0,translation_collision
17,random_sample,6,1.078509,0.350286,0.698231,0.958697,-0.289525,0.238823,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,0,translation_collision
18,random_sample,9,0.460894,-0.213232,2.990016,0.344454,-0.128668,2.221339,0.344454,-0.128668,1.174141,0.344454,-0.128668,1.174141,0,duplicate_candidate
19,random_sample,2,0.860366,-0.002770,-2.486814,0.655888,0.108352,2.221339,0.655888,0.108352,1.174141,0.655888,0.108352,1.174141,0,duplicate_candidate
20,lateral_motion,4,nan,nan,nan,0.958697,-0.289525,2.120451,0.958697,-0.289525,2.120451,0.561283,-0.532993,2.120451,0,lateral_segment_collision
21,random_sample,6,1.479594,0.444629,-1.523539,0.958697,-0.289525,0.238823,0.958697,-0.289525,0.238823,1.444506,-0.171246,0.238823,0,translation_collision
22,random_sample,13,0.508318,0.078697,0.759335,0.655888,0.108352,1.174141,0.655888,0.108352,2.221339,0.655888,0.108352,2.221339,0,duplicate_candidate
23,random_sample,6,0.575186,0.376759,-0.996076,0.958697,-0.289525,0.238823,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,0,translation_collision
24,random_sample,11,1.180520,1.268600,-1.931088,0.879954,0.278880,2.221339,0.879954,0.278880,1.275960,1.025246,0.757305,1.275960,0,rotation_collision
25,random_sample,2,-0.404891,1.509462,-2.596204,0.655888,0.108352,2.221339,0.655888,0.108352,2.221339,0.353079,0.506230,2.221339,0,translation_collision
26,random_sample,1,1.336984,-0.343307,-2.955270,0.958697,-0.289525,2.221339,0.958697,-0.289525,1.174141,1.106312,0.062899,1.174141,1,accepted
27,random_sample,3,0.023138,-0.165337,-2.376407,0.281709,-0.176420,2.221339,0.281709,-0.176420,3.098753,0.023138,-0.165337,3.098753,1,accepted
28,random_sample,11,1.496236,0.371266,2.700935,0.879954,0.278880,2.221339,0.879954,0.278880,1.174141,1.073122,0.740060,1.174141,0,rotation_collision
29,random_sample,6,0.952716,-0.031529,-0.509167,0.958697,-0.289525,0.238823,0.958697,-0.289525,1.286021,1.031199,-0.041853,1.286021,1,accepted
30,random_sample,16,0.337734,-0.400462,2.676703,0.281709,-0.176420,3.098753,0.281709,-0.176420,-2.137235,0.281709,-0.176420,-2.137235,0,duplicate_candidate
31,random_sample,8,0.281038,0.168700,2.388021,0.429032,-0.064299,2.221339,0.429032,-0.064299,2.221339,0.261865,0.155351,2.221339,1,accepted
32,random_sample,1,1.449840,-0.318192,2.263793,0.958697,-0.289525,2.221339,0.958697,-0.289525,1.174141,1.148766,0.164256,1.174141,0,translation_collision
33,random_sample,6,1.253016,1.867738,0.317147,0.958697,-0.289525,0.238823,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,0,translation_collision
34,random_sample,6,-0.480455,0.950324,-0.668062,0.958697,-0.289525,0.238823,0.958697,-0.289525,1.286021,1.099168,0.190337,1.286021,0,translation_collision
35,lateral_motion,8,nan,nan,nan,0.429032,-0.064299,2.221339,0.429032,-0.064299,2.221339,0.730515,0.165148,2.221339,1,accepted
36,random_sample,15,1.227928,0.791304,1.256809,1.106312,0.062899,1.174141,1.106312,0.062899,1.174141,1.299480,0.524079,1.174141,0,translation_collision
37,lateral_motion,7,nan,nan,nan,0.281709,-0.176420,1.174141,0.281709,-0.176420,1.174141,0.023682,-0.068344,1.174141,1,accepted
38,random_sample,17,-0.182387,1.367123,-2.643732,0.023138,-0.165337,3.098753,0.023138,-0.165337,2.051555,-0.208088,0.277986,2.051555,0,translation_collision
39,random_sample,20,-0.471341,1.898256,1.759951,0.261865,0.155351,2.221339,0.261865,0.155351,2.221339,-0.040944,0.553228,2.221339,0,translation_collision
40,random_sample,17,-0.435949,1.100997,-3.067929,0.023138,-0.165337,3.098753,0.023138,-0.165337,2.051555,-0.208088,0.277986,2.051555,0,translation_collision
41,random_sample,13,0.674988,0.905499,1.278835,0.655888,0.108352,1.174141,0.655888,0.108352,1.174141,0.849056,0.569532,1.174141,0,translation_collision
42,random_sample,3,-0.215341,-0.256981,2.316035,0.281709,-0.176420,2.221339,0.281709,-0.176420,-3.014649,-0.214267,-0.239722,-3.014649,1,accepted
43,lateral_motion,24,nan,nan,nan,-0.214267,-0.239722,-3.014649,-0.214267,-0.239722,-3.014649,-0.168207,-0.600610,-3.014649,0,lateral_segment_collision
44,lateral_motion,21,nan,nan,nan,0.730515,0.165148,2.221339,0.730515,0.165148,2.221339,0.982862,0.357199,2.221339,0,lateral_segment_collision
